SSN,F_Name,M_Initial,L_Name,Sex,Enrollment_Date,Building_Number,Street,Apt_Number,City,State,Zip,UserID
351166872,Carol,J,Davis,F,3/20/2022,8483,Orbit Dr,252,Richardson,TX,75038,63
789244692,Bob,G,Martinez,F,4/9/2023,8957,Astro Way,151,Richardson,TX,75015,64
493184669,Grace,H,Davis,M,2/23/2021,8802,Galaxy Blvd,515,Richardson,TX,75066,65
632058071,Alice,E,Martinez,M,3/21/2024,7199,Astro Way,443,Richardson,TX,75049,66
518135220,Jack,E,Lee,F,3/1/2021,155,Orbit Dr,692,Richardson,TX,75086,67
382309263,Ivy,D,Martinez,F,9/25/2019,4180,Nebula St,888,Richardson,TX,75051,68
446449911,Eva,J,Martinez,F,10/2/2021,7170,Astro Way,161,Richardson,TX,75064,69
371770700,Ivy,G,Williams,M,9/16/2024,782,Astro Way,362,Richardson,TX,75069,70
562898293,Alice,G,Williams,M,1/20/2019,2590,Astro Way,285,Richardson,TX,75056,71
726172298,Alice,C,Davis,M,6/21/2022,526,Comet Ln,317,Richardson,TX,75083,72
287986033,Grace,J,Jones,F,11/6/2020,204,Astro Way,418,Richardson,TX,75042,73
100000007,David,D,Davis,M,12/10/2020,5308,Galaxy Blvd,972,Richardson,TX,75025,74
290277089,Henry,G,Jones,M,7/24/2024,1207,Astro Way,924,Richardson,TX,75033,75
352674156,Eva,H,Martinez,M,8/24/2019,8137,Astro Way,30,Richardson,TX,75062,76
770545107,Bob,D,Smith,M,3/11/2023,3809,Galaxy Blvd,124,Richardson,TX,75010,77
634276401,Ivy,C,Martinez,M,6/1/2024,8207,Nebula St,116,Richardson,TX,75012,78
129280263,Bob,B,Davis,F,3/1/2020,3056,Astro Way,451,Richardson,TX,75088,79
351694746,Alice,G,Davis,F,3/27/2023,7818,Astro Way,644,Richardson,TX,75016,80
293186456,Bob,E,Lee,M,6/28/2022,1474,Astro Way,280,Richardson,TX,75089,81
469182121,Henry,C,Garcia,M,8/8/2021,8793,Nebula St,927,Richardson,TX,75082,82
423003161,Henry,D,Martinez,F,4/4/2019,3174,Astro Way,860,Richardson,TX,75048,83
728533392,Bob,G,Martinez,M,8/2/2021,5481,Orbit Dr,275,Richardson,TX,75065,84
159057629,Ivy,G,Williams,M,5/22/2024,903,Galaxy Blvd,210,Richardson,TX,75090,85
642064066,Bob,I,Jones,F,1/15/2022,1854,Comet Ln,499,Richardson,TX,75023,86
491523061,David,I,Jones,M,3/4/2022,8490,Astro Way,749,Richardson,TX,75070,87
139620818,Ivy,F,Davis,F,8/20/2023,8651,Nebula St,979,Richardson,TX,75046,88
854602537,Carol,E,Lee,M,4/16/2023,242,Orbit Dr,89,Richardson,TX,75099,89
941338455,David,A,Lee,F,5/11/2023,8084,Nebula St,802,Richardson,TX,75095,90
509736956,David,C,Garcia,F,3/11/2024,8535,Orbit Dr,541,Richardson,TX,75010,91
394365269,Frank,E,Garcia,F,7/1/2023,2357,Nebula St,582,Richardson,TX,75096,92
863327710,Jack,E,Garcia,M,2/24/2023,7128,Comet Ln,164,Richardson,TX,75064,93
560458287,Bob,G,Garcia,F,8/15/2022,8248,Comet Ln,670,Richardson,TX,75046,94
695317014,Henry,A,Smith,M,6/2/2022,2892,Orbit Dr,728,Richardson,TX,75078,95
706572534,Ivy,B,Jones,F,9/14/2023,1084,Galaxy Blvd,332,Richardson,TX,75011,96
789059957,Henry,A,Lee,M,11/10/2022,5662,Nebula St,887,Richardson,TX,75061,97
555638528,Alice,F,Jones,M,12/3/2022,2110,Comet Ln,956,Richardson,TX,75098,98
100000008,Henry,D,Martinez,M,9/4/2021,3839,Nebula St,399,Richardson,TX,75034,99
846285935,Frank,D,Brown,F,10/10/2022,1699,Nebula St,1,Richardson,TX,75016,100
756676077,Carol,J,Brown,M,7/15/2021,1822,Nebula St,493,Richardson,TX,75086,101
202448052,Grace,B,Jones,F,9/5/2023,5195,Comet Ln,741,Richardson,TX,75037,102
427441052,Ivy,C,Davis,F,7/3/2024,5669,Orbit Dr,527,Richardson,TX,75098,103
878784565,Henry,F,Martinez,F,11/8/2021,5636,Comet Ln,96,Richardson,TX,75084,104
948088395,Grace,B,Jones,M,2/27/2022,5182,Galaxy Blvd,819,Richardson,TX,75057,105
632698840,Grace,G,Williams,M,7/18/2023,5786,Galaxy Blvd,551,Richardson,TX,75031,106
557935007,Bob,E,Williams,M,11/4/2022,9192,Orbit Dr,342,Richardson,TX,75084,107
618045282,Frank,I,Jones,M,12/11/2019,7264,Comet Ln,87,Richardson,TX,75094,108
418256535,Jack,C,Smith,M,2/16/2022,8462,Astro Way,28,Richardson,TX,75029,109
490512206,Jack,J,Davis,F,9/10/2022,2756,Nebula St,116,Richardson,TX,75084,110
100000009,Alice,J,Brown,M,2/19/2024,5690,Astro Way,214,Richardson,TX,75069,111
796710786,Eva,I,Garcia,M,2/6/2022,9650,Astro Way,161,Richardson,TX,75035,112
669393590,Bob,A,Brown,F,5/11/2022,1475,Comet Ln,956,Richardson,TX,75086,113
450195244,Carol,B,Martinez,F,5/16/2022,8622,Comet Ln,849,Richardson,TX,75077,114
979966424,Jack,H,Smith,M,12/14/2021,3532,Nebula St,276,Richardson,TX,75063,115
655500756,Ivy,A,Brown,M,11/18/2022,7038,Nebula St,130,Richardson,TX,75085,116
122766420,Grace,C,Lee,M,2/17/2020,8230,Galaxy Blvd,62,Richardson,TX,75024,117
100000010,Carol,A,Smith,F,12/17/2022,2650,Nebula St,615,Richardson,TX,75080,118
379308077,Carol,H,Jones,M,5/16/2020,4472,Nebula St,297,Richardson,TX,75031,119
841368422,Ivy,H,Jones,M,3/15/2021,8749,Galaxy Blvd,267,Richardson,TX,75038,120
480134868,Bob,I,Brown,M,1/17/2024,6068,Galaxy Blvd,106,Richardson,TX,75040,121
619319418,Frank,I,Smith,F,7/13/2022,3372,Nebula St,766,Richardson,TX,75030,122
166137407,Henry,G,Brown,F,11/5/2019,9860,Nebula St,127,Richardson,TX,75070,123
660809440,Henry,B,Jones,M,1/11/2023,3096,Nebula St,712,Richardson,TX,75085,124
140357503,David,I,Garcia,F,1/21/2020,8742,Galaxy Blvd,193,Richardson,TX,75089,125
913261728,Ivy,A,Smith,F,3/18/2019,3131,Astro Way,620,Richardson,TX,75025,126
699678615,Ivy,D,Jones,M,10/16/2024,1778,Nebula St,773,Richardson,TX,75089,127
619554042,Jack,D,Jones,M,9/8/2022,8285,Nebula St,169,Richardson,TX,75049,128
622507523,Carol,H,Martinez,F,9/3/2019,5461,Astro Way,866,Richardson,TX,75010,129
509690476,David,G,Jones,F,9/24/2021,8545,Nebula St,854,Richardson,TX,75019,130
100000011,Jack,H,Williams,M,6/13/2022,4445,Comet Ln,736,Richardson,TX,75093,131
382344942,Jack,J,Martinez,M,11/8/2022,6852,Comet Ln,695,Richardson,TX,75076,132
525268183,Jack,F,Davis,M,2/24/2024,2735,Orbit Dr,89,Richardson,TX,75067,133
912615981,Carol,B,Lee,M,8/23/2021,1732,Comet Ln,831,Richardson,TX,75012,134
174631601,Henry,I,Garcia,M,2/16/2023,1477,Galaxy Blvd,744,Richardson,TX,75056,135
452026043,Jack,C,Brown,F,1/20/2024,7306,Astro Way,105,Richardson,TX,75039,136
306132758,Alice,G,Brown,M,10/7/2023,414,Orbit Dr,302,Richardson,TX,75049,137
450010674,Frank,G,Martinez,M,1/10/2021,346,Comet Ln,838,Richardson,TX,75097,138
347842732,Alice,G,Davis,F,8/18/2020,8153,Astro Way,180,Richardson,TX,75065,139
951367056,Alice,B,Williams,M,2/10/2021,6753,Galaxy Blvd,424,Richardson,TX,75093,140
597574672,David,A,Martinez,M,1/16/2022,7338,Galaxy Blvd,565,Richardson,TX,75017,141
278385512,Henry,D,Williams,M,11/27/2022,8464,Orbit Dr,632,Richardson,TX,75080,142
868356701,Ivy,E,Smith,M,4/5/2019,1936,Nebula St,605,Richardson,TX,75019,143
175673079,Jack,H,Jones,F,12/12/2022,179,Galaxy Blvd,842,Richardson,TX,75090,144
684634282,Frank,I,Brown,F,3/14/2023,8201,Nebula St,467,Richardson,TX,75085,145
249080948,Alice,A,Garcia,M,3/27/2023,8874,Nebula St,193,Richardson,TX,75048,146
589805086,Henry,H,Davis,M,10/28/2019,6533,Galaxy Blvd,926,Richardson,TX,75079,147
692505615,Eva,I,Martinez,F,11/17/2020,173,Comet Ln,810,Richardson,TX,75044,148
507461788,Alice,I,Martinez,M,5/2/2022,7735,Nebula St,602,Richardson,TX,75021,149
268473315,Grace,J,Martinez,M,1/1/2020,5443,Nebula St,518,Richardson,TX,75044,150
149973719,Ivy,E,Martinez,F,1/2/2023,2963,Orbit Dr,808,Richardson,TX,75070,151
569317071,Frank,E,Smith,F,5/15/2024,6296,Astro Way,86,Richardson,TX,75049,152
977618865,Jack,E,Martinez,F,10/28/2021,1576,Galaxy Blvd,46,Richardson,TX,75082,153
457703052,Alice,H,Jones,F,11/10/2021,8455,Astro Way,728,Richardson,TX,75012,154
521254384,Grace,G,Davis,M,11/11/2021,8572,Comet Ln,412,Richardson,TX,75032,155
411620820,Henry,E,Lee,M,1/9/2024,7829,Comet Ln,736,Richardson,TX,75027,156
172615399,Henry,G,Davis,F,8/2/2024,9121,Nebula St,658,Richardson,TX,75082,157
951402384,Jack,F,Martinez,M,7/1/2023,9159,Orbit Dr,755,Richardson,TX,75065,158
586537724,Grace,H,Jones,M,11/22/2023,3458,Galaxy Blvd,437,Richardson,TX,75096,159
361400779,David,G,Martinez,F,3/14/2023,9123,Astro Way,108,Richardson,TX,75076,160
493112501,Bob,I,Martinez,M,8/11/2019,3095,Astro Way,245,Richardson,TX,75022,161
806708098,Carol,D,Lee,F,11/15/2020,5277,Comet Ln,495,Richardson,TX,75068,162
390538610,Grace,I,Garcia,F,10/12/2021,907,Nebula St,824,Richardson,TX,75010,163
172759481,Henry,I,Brown,M,7/13/2022,4870,Astro Way,777,Richardson,TX,75097,164
506902216,Bob,C,Davis,F,10/4/2024,2189,Galaxy Blvd,140,Richardson,TX,75033,165
834112233,Bob,E,Brown,F,6/21/2023,2519,Orbit Dr,660,Richardson,TX,75088,166
980343898,Eva,E,Davis,M,7/28/2020,7933,Orbit Dr,116,Richardson,TX,75089,167
354896138,Henry,D,Martinez,F,2/17/2024,8069,Orbit Dr,825,Richardson,TX,75046,168
421550895,Alice,I,Lee,M,5/5/2021,5017,Galaxy Blvd,559,Richardson,TX,75084,169
857149319,Grace,E,Williams,F,7/4/2023,453,Comet Ln,33,Richardson,TX,75083,170
213046640,Jack,H,Martinez,M,7/16/2023,2063,Astro Way,813,Richardson,TX,75063,171
100000012,Ivy,E,Martinez,F,2/28/2020,2618,Comet Ln,928,Richardson,TX,75044,172
910024652,Bob,F,Brown,F,9/26/2020,2180,Nebula St,822,Richardson,TX,75071,173
751972468,Carol,G,Williams,M,2/2/2022,2869,Galaxy Blvd,557,Richardson,TX,75041,174
627517641,Ivy,A,Martinez,F,9/23/2020,6633,Galaxy Blvd,657,Richardson,TX,75072,175
100000013,David,B,Jones,M,10/3/2024,1216,Nebula St,884,Richardson,TX,75014,176
872400342,Jack,D,Jones,M,5/3/2023,7469,Comet Ln,680,Richardson,TX,75045,177
348996489,Eva,F,Smith,F,3/27/2021,7405,Orbit Dr,837,Richardson,TX,75042,178
816334009,Frank,B,Brown,M,5/24/2020,3922,Orbit Dr,118,Richardson,TX,75010,179
487452265,Alice,D,Garcia,F,2/24/2023,7649,Galaxy Blvd,309,Richardson,TX,75065,180
775632900,Henry,D,Martinez,M,4/23/2022,5607,Orbit Dr,781,Richardson,TX,75020,181
823810119,Henry,J,Martinez,F,12/23/2021,8443,Orbit Dr,147,Richardson,TX,75025,182
100000014,Grace,F,Brown,M,8/22/2024,6493,Galaxy Blvd,15,Richardson,TX,75085,183
992315967,Ivy,J,Martinez,F,7/14/2021,4574,Orbit Dr,344,Richardson,TX,75050,184
569709267,Alice,G,Brown,F,7/2/2022,2492,Comet Ln,277,Richardson,TX,75055,185
786041237,Alice,B,Martinez,F,1/28/2023,1267,Orbit Dr,191,Richardson,TX,75054,186
123155514,Eva,D,Williams,M,6/9/2024,2941,Astro Way,614,Richardson,TX,75064,187
246310500,Grace,C,Brown,F,6/4/2022,5289,Galaxy Blvd,144,Richardson,TX,75066,188
100000015,Grace,B,Garcia,M,12/20/2019,5431,Orbit Dr,618,Richardson,TX,75055,189
895629150,Frank,A,Jones,M,5/22/2022,4060,Comet Ln,817,Richardson,TX,75026,190
586864135,Bob,B,Lee,F,5/22/2023,6394,Orbit Dr,742,Richardson,TX,75049,191
597091595,Grace,B,Brown,F,4/15/2021,6230,Nebula St,29,Richardson,TX,75011,192
785725811,Ivy,I,Martinez,M,9/13/2023,5745,Nebula St,713,Richardson,TX,75063,193
293010195,Ivy,J,Davis,F,8/10/2023,7648,Nebula St,999,Richardson,TX,75053,194
691369051,Jack,E,Jones,M,7/8/2020,78,Orbit Dr,255,Richardson,TX,75023,195
704371183,Ivy,A,Lee,M,12/19/2021,3752,Comet Ln,829,Richardson,TX,75066,196
290953684,Ivy,B,Garcia,M,9/21/2023,2077,Orbit Dr,288,Richardson,TX,75062,197
767348248,Eva,I,Smith,F,12/7/2023,1329,Galaxy Blvd,33,Richardson,TX,75043,198
372745862,Grace,F,Lee,M,5/11/2023,9142,Nebula St,807,Richardson,TX,75060,199
100000016,David,D,Martinez,M,4/12/2023,8046,Galaxy Blvd,439,Richardson,TX,75057,200
563951297,Grace,G,Jones,F,9/23/2022,1910,Orbit Dr,641,Richardson,TX,75065,201
100000017,Frank,C,Jones,F,3/13/2022,9515,Galaxy Blvd,244,Richardson,TX,75053,202
285603712,Ivy,D,Jones,F,1/3/2023,696,Comet Ln,996,Richardson,TX,75047,203
930901196,Ivy,B,Garcia,M,10/24/2024,967,Nebula St,201,Richardson,TX,75033,204
621493035,Eva,J,Williams,M,10/6/2019,6373,Astro Way,227,Richardson,TX,75086,205
627362409,Eva,D,Davis,F,3/16/2022,5929,Astro Way,666,Richardson,TX,75028,206
109730698,Eva,I,Davis,M,2/8/2020,4380,Comet Ln,840,Richardson,TX,75057,207
274293039,Frank,J,Martinez,M,1/26/2021,3931,Nebula St,102,Richardson,TX,75099,208
950296005,Frank,F,Martinez,F,1/8/2023,8650,Astro Way,237,Richardson,TX,75068,209
872890293,Grace,D,Smith,F,4/16/2023,4192,Nebula St,291,Richardson,TX,75080,210
222772332,Frank,J,Williams,M,12/9/2024,2075,Comet Ln,60,Richardson,TX,75056,211
350916127,Alice,D,Brown,M,9/4/2022,9550,Galaxy Blvd,409,Richardson,TX,75042,212
917119093,Carol,H,Jones,F,6/2/2023,7137,Comet Ln,308,Richardson,TX,75060,213
100000018,Bob,E,Lee,F,10/22/2023,7653,Galaxy Blvd,652,Richardson,TX,75080,214
100000019,Frank,A,Martinez,M,5/25/2021,2923,Galaxy Blvd,526,Richardson,TX,75094,215
365328759,Bob,G,Williams,M,5/21/2023,4914,Astro Way,472,Richardson,TX,75073,216
571320781,Grace,E,Smith,F,10/6/2019,6832,Nebula St,71,Richardson,TX,75077,217
878113706,Frank,B,Garcia,M,11/12/2019,7919,Nebula St,553,Richardson,TX,75021,218
183408154,Henry,A,Garcia,F,11/21/2019,4156,Astro Way,718,Richardson,TX,75058,219
100000020,David,D,Garcia,F,9/24/2023,1446,Astro Way,408,Richardson,TX,75035,220
727209592,Frank,I,Smith,F,11/7/2022,6997,Orbit Dr,572,Richardson,TX,75059,221
313716645,David,E,Brown,M,3/21/2023,2978,Orbit Dr,473,Richardson,TX,75091,222
100000021,Henry,A,Jones,M,5/22/2020,8470,Orbit Dr,384,Richardson,TX,75049,223
894584013,Alice,F,Smith,M,9/1/2022,9763,Nebula St,193,Richardson,TX,75079,224
100000022,Jack,D,Martinez,M,12/23/2024,9341,Orbit Dr,170,Richardson,TX,75021,225
515366444,Eva,G,Williams,F,5/20/2020,5827,Astro Way,840,Richardson,TX,75024,226
100000023,Bob,H,Lee,M,5/23/2022,9070,Nebula St,263,Richardson,TX,75075,227
329661340,Alice,I,Davis,M,7/18/2019,1513,Astro Way,363,Richardson,TX,75035,228
870542815,Bob,I,Martinez,M,10/18/2024,7337,Galaxy Blvd,336,Richardson,TX,75055,229
508175756,Ivy,F,Garcia,F,5/26/2023,4659,Comet Ln,139,Richardson,TX,75019,230
809227630,Grace,I,Martinez,M,4/5/2024,5880,Astro Way,797,Richardson,TX,75052,231
675981741,Alice,C,Lee,M,12/23/2024,629,Astro Way,256,Richardson,TX,75011,232
254162963,Henry,H,Brown,F,8/11/2021,3248,Nebula St,126,Richardson,TX,75096,233
696379272,Carol,B,Jones,M,3/8/2024,7525,Orbit Dr,983,Richardson,TX,75044,234
461444858,Jack,B,Jones,F,6/11/2022,2325,Comet Ln,877,Richardson,TX,75024,235
981066616,David,I,Brown,M,3/17/2020,6040,Comet Ln,836,Richardson,TX,75046,236
848463319,Alice,H,Martinez,F,6/23/2023,9300,Astro Way,525,Richardson,TX,75051,237
200326629,Frank,D,Martinez,M,3/16/2023,5226,Astro Way,540,Richardson,TX,75070,238
705919886,Jack,G,Williams,M,5/16/2021,6964,Galaxy Blvd,516,Richardson,TX,75027,239
878803525,Grace,C,Martinez,M,7/19/2022,3561,Astro Way,213,Richardson,TX,75049,240
501266473,Eva,F,Martinez,F,1/19/2024,3215,Astro Way,749,Richardson,TX,75059,241
842727338,Alice,D,Lee,M,5/15/2022,393,Astro Way,310,Richardson,TX,75057,242
860738998,Carol,F,Davis,M,2/26/2019,3244,Astro Way,357,Richardson,TX,75034,243
100000024,Bob,G,Martinez,M,10/15/2021,3357,Galaxy Blvd,343,Richardson,TX,75098,244
912730850,Bob,F,Martinez,M,12/23/2024,4485,Orbit Dr,126,Richardson,TX,75014,245
405644051,David,A,Brown,F,12/3/2024,4187,Galaxy Blvd,991,Richardson,TX,75037,246
378100947,Grace,E,Smith,M,2/2/2021,5713,Comet Ln,751,Richardson,TX,75015,247
821230172,Frank,E,Davis,F,10/28/2022,1074,Galaxy Blvd,347,Richardson,TX,75040,248
224675218,Carol,D,Martinez,M,6/2/2023,1439,Orbit Dr,180,Richardson,TX,75028,249
100000025,Alice,J,Garcia,F,4/10/2023,5618,Orbit Dr,796,Richardson,TX,75044,250
156526146,Grace,J,Jones,M,7/13/2023,6660,Nebula St,17,Richardson,TX,75099,251
627311685,Eva,J,Martinez,F,5/15/2019,7676,Comet Ln,547,Richardson,TX,75097,252
936650072,Eva,F,Smith,F,1/13/2022,7150,Orbit Dr,555,Richardson,TX,75070,253
208221954,Alice,G,Garcia,M,10/3/2021,8944,Galaxy Blvd,514,Richardson,TX,75073,254
479632461,Grace,G,Garcia,F,6/26/2021,5411,Astro Way,931,Richardson,TX,75035,255
496644618,Grace,B,Davis,F,1/10/2021,2435,Galaxy Blvd,859,Richardson,TX,75050,256
811705918,David,C,Jones,M,5/25/2024,9210,Orbit Dr,976,Richardson,TX,75035,257
596877282,Bob,B,Jones,M,8/7/2024,1254,Nebula St,347,Richardson,TX,75015,258
224163916,David,G,Williams,M,9/17/2020,2341,Orbit Dr,184,Richardson,TX,75038,259
584937760,Carol,H,Lee,F,6/26/2022,3914,Nebula St,907,Richardson,TX,75075,260
599489305,Alice,D,Smith,F,2/10/2021,4017,Astro Way,639,Richardson,TX,75040,261
853677263,Eva,G,Lee,F,2/21/2024,7314,Orbit Dr,407,Richardson,TX,75052,262
992677232,Alice,D,Smith,M,5/25/2022,2155,Galaxy Blvd,203,Richardson,TX,75076,263
679411264,David,H,Martinez,M,6/5/2020,6500,Nebula St,594,Richardson,TX,75061,264
628758312,Jack,F,Lee,F,9/19/2024,624,Orbit Dr,639,Richardson,TX,75076,265
387675834,Grace,A,Brown,F,6/5/2023,6311,Astro Way,282,Richardson,TX,75042,266
857184401,Frank,I,Lee,M,4/15/2020,87,Astro Way,892,Richardson,TX,75056,267
558020914,Eva,F,Martinez,F,12/28/2024,6056,Astro Way,799,Richardson,TX,75017,268
695769552,Frank,H,Davis,F,8/19/2024,2294,Orbit Dr,163,Richardson,TX,75052,269
543468696,Ivy,D,Jones,F,7/27/2022,8424,Astro Way,200,Richardson,TX,75047,270
939171260,Frank,B,Williams,F,12/10/2020,7484,Galaxy Blvd,326,Richardson,TX,75070,271
344954523,Eva,C,Brown,M,9/5/2023,7984,Comet Ln,421,Richardson,TX,75093,272
201684871,Jack,E,Martinez,F,2/26/2023,9072,Comet Ln,239,Richardson,TX,75098,273
968684148,Ivy,B,Jones,M,8/18/2023,1335,Astro Way,27,Richardson,TX,75011,274
552839373,Henry,E,Lee,M,4/15/2024,6226,Astro Way,636,Richardson,TX,75094,275
651384401,Alice,H,Garcia,F,12/1/2020,3978,Astro Way,969,Richardson,TX,75087,276
659413809,Henry,F,Brown,F,9/17/2019,647,Orbit Dr,732,Richardson,TX,75023,277
400536409,Eva,I,Smith,F,3/12/2023,4426,Galaxy Blvd,953,Richardson,TX,75043,278
846802993,Carol,F,Jones,M,3/24/2024,699,Comet Ln,283,Richardson,TX,75037,279
100000026,Frank,H,Jones,F,10/15/2024,9048,Orbit Dr,336,Richardson,TX,75019,280
627815400,Jack,J,Davis,M,3/3/2023,4915,Astro Way,423,Richardson,TX,75096,281
660296604,Alice,A,Garcia,F,12/14/2021,4562,Galaxy Blvd,796,Richardson,TX,75048,282
638029666,Ivy,J,Smith,M,6/6/2024,3042,Nebula St,357,Richardson,TX,75035,283
399265425,Eva,J,Davis,F,2/9/2020,4072,Nebula St,18,Richardson,TX,75026,284
797964938,Carol,F,Lee,M,6/20/2021,5509,Comet Ln,298,Richardson,TX,75035,285
235684437,Eva,J,Brown,M,1/9/2024,7510,Astro Way,975,Richardson,TX,75096,286
