UserID,School_Email,Password,Date_Created
90,dal90@utdallas.edu,MFD&SQahlc5S,2023-05-31 00:00:00
91,dcg91@utdallas.edu,AwH1v-2$+MhM,2024-03-30 00:00:00
92,feg92@utdallas.edu,T+J12Bf5r@H!,2023-07-09 00:00:00
93,jeg93@utdallas.edu,tKKlThj-$vlT,2023-03-11 00:00:00
94,bgg94@utdallas.edu,2yhrZi!7c70(,2022-09-08 00:00:00
95,has95@utdallas.edu,pt%_+9v%PAU#,2022-06-13 00:00:00
96,ibj96@utdallas.edu,a$%DmHpW*Tl2,2023-09-25 00:00:00
97,hal97@utdallas.edu,+(66k*Thzme#,2022-11-14 00:00:00
98,afj98@utdallas.edu,PO!r@RZf@&HN,2022-12-19 00:00:00
99,hdm99@utdallas.edu,-V^*HJ1&f3QP,2021-09-27 00:00:00
100,fdb100@utdallas.edu,BH7^wig3ZD(R,2022-11-03 00:00:00
101,cjb101@utdallas.edu,M$V^IXzoDMR&,2021-08-09 00:00:00
102,gbj102@utdallas.edu,WhrwAO+p%M*+,2023-09-22 00:00:00
103,icd103@utdallas.edu,vNPZ%58@)&Qu,2024-07-06 00:00:00
104,hfm104@utdallas.edu,*7j^WDf0!ca1,2021-11-19 00:00:00
105,gbj105@utdallas.edu,=t+EQ4!TMSK4,2022-03-26 00:00:00
106,ggw106@utdallas.edu,1#@%#qiJi4Da,2023-07-30 00:00:00
107,bew107@utdallas.edu,7pefiH(S4aH1,2022-11-04 00:00:00
108,fij108@utdallas.edu,rIVswjb4Y@zM,2019-12-20 00:00:00
109,jcs109@utdallas.edu,DI+Y^3vhF$=@,2022-03-11 00:00:00
110,jjd110@utdallas.edu,A+HcGyeeVjAa,2022-10-10 00:00:00
111,ajb111@utdallas.edu,*=XruDxBs@pW,2024-03-14 00:00:00
112,eig112@utdallas.edu,k2Y&*&dNu^0),2022-02-13 00:00:00
113,bab113@utdallas.edu,WMe!5^fT&#Ya,2022-05-15 00:00:00
114,cbm114@utdallas.edu,FmfM)f5Ogl&W,2022-06-10 00:00:00
115,jhs115@utdallas.edu,M_fVqEvF+^hF,2022-01-09 00:00:00
116,iab116@utdallas.edu,hSqR!QCrplGP,2022-12-07 00:00:00
117,gcl117@utdallas.edu,IPPNo166Nem8,2020-03-14 00:00:00
118,cas118@utdallas.edu,+QT_(@ReO@ni,2022-12-27 00:00:00
119,chj119@utdallas.edu,&rzzmtJiIStY,2020-06-05 00:00:00
120,ihj120@utdallas.edu,IHeI@offn*8n,2021-03-16 00:00:00
121,bib121@utdallas.edu,1mMPlBX97Lh$,2024-02-12 00:00:00
122,fis122@utdallas.edu,oVP$u3KqW$LT,2022-08-08 00:00:00
123,hgb123@utdallas.edu,ZHMBD!%8hY^@,2019-12-03 00:00:00
124,hbj124@utdallas.edu,8^sR=OXjp3@b,2023-01-27 00:00:00
125,dig125@utdallas.edu,&dsDIJFZJHvl,2020-02-16 00:00:00
126,ias126@utdallas.edu,)w-SVw=f!1@$,2019-03-18 00:00:00
127,idj127@utdallas.edu,l0#TD-rwS9H3,2024-10-25 00:00:00
128,jdj128@utdallas.edu,NS&Nsk2Y2Lcd,2022-09-18 00:00:00
129,chm129@utdallas.edu,hs1mZu5XXbc_,2019-09-24 00:00:00
130,dgj130@utdallas.edu,1O!F%%-Ix45&,2021-10-19 00:00:00
131,jhw131@utdallas.edu,Jxd8-$_3-OtQ,2022-07-06 00:00:00
132,jjm132@utdallas.edu,TW*d1puRh%a=,2022-11-22 00:00:00
133,jfd133@utdallas.edu,ftRNE*p^n#Pm,2024-03-24 00:00:00
134,cbl134@utdallas.edu,KHbenmcFwB0o,2021-09-04 00:00:00
135,hig135@utdallas.edu,7lVaskZb!X!O,2023-03-02 00:00:00
136,jcb136@utdallas.edu,o!R4aoQod39%,2024-02-04 00:00:00
137,agb137@utdallas.edu,R06bdD2ggQvb,2023-10-10 00:00:00
138,fgm138@utdallas.edu,E$!QnY5Vfgt#,2021-01-15 00:00:00
139,agd139@utdallas.edu,p^u^3C1S*iDT,2020-09-12 00:00:00
140,abw140@utdallas.edu,%lPGijkhO(rw,2021-02-23 00:00:00
141,dam141@utdallas.edu,Bmww2ZtKabit,2022-02-05 00:00:00
142,hdw142@utdallas.edu,L$WNGdsaC@8R,2022-12-04 00:00:00
143,ies143@utdallas.edu,gu6$To$jb6e=,2019-04-28 00:00:00
144,jhj144@utdallas.edu,ncXU1H5r!V+p,2022-12-14 00:00:00
145,fib145@utdallas.edu,NMfN4sCR$h@u,2023-03-15 00:00:00
146,aag146@utdallas.edu,kL_!nW)fe5%(,2023-04-05 00:00:00
147,hhd147@utdallas.edu,XK7f9%$jb)Cu,2019-11-10 00:00:00
148,eim148@utdallas.edu,Xp-!ZSt1w(ZY,2020-12-16 00:00:00
149,aim149@utdallas.edu,#xjhHcq2WQ7b,2022-05-08 00:00:00
150,gjm150@utdallas.edu,nDIm-oJq!hvb,2020-01-31 00:00:00
151,iem151@utdallas.edu,7Fo5(OFNJK@9,2023-01-25 00:00:00
152,fes152@utdallas.edu,_Q1i*_UIiN+m,2024-06-03 00:00:00
153,jem153@utdallas.edu,kd8T5&chaQ5#,2021-11-15 00:00:00
154,ahj154@utdallas.edu,cb1!xJ_ASvq),2021-11-23 00:00:00
155,ggd155@utdallas.edu,dFMZau1ot4WD,2021-12-11 00:00:00
156,hel156@utdallas.edu,LM=kbkkqnxsx,2024-01-26 00:00:00
157,hgd157@utdallas.edu,IanG-WQaM&Nl,2024-08-22 00:00:00
158,jfm158@utdallas.edu,2R@%UYT$go4i,2023-07-27 00:00:00
159,ghj159@utdallas.edu,#2_Qz@lreZde,2023-11-26 00:00:00
160,dgm160@utdallas.edu,8$P@CN-WZ3N6,2023-03-24 00:00:00
161,bim161@utdallas.edu,@9VKe%S=snlZ,2019-08-17 00:00:00
162,cdl162@utdallas.edu,nkb#B-ZI4U$8,2020-11-20 00:00:00
163,gig163@utdallas.edu,YK^QMZMRpWm5,2021-10-16 00:00:00
164,hib164@utdallas.edu,A0BWm8N9&9Si,2022-08-12 00:00:00
165,bcd165@utdallas.edu,=cwfC2**GTyL,2024-10-24 00:00:00
166,beb166@utdallas.edu,hLtAicDFtebM,2023-07-06 00:00:00
167,eed167@utdallas.edu,k^e-7XYj#TwO,2020-08-18 00:00:00
168,hdm168@utdallas.edu,1Hq$4lzcZZqx,2024-03-14 00:00:00
169,ail169@utdallas.edu,iJaXFOKa9-X#,2021-05-26 00:00:00
170,gew170@utdallas.edu,OGJ_*5mbJ)Wq,2023-07-08 00:00:00
171,jhm171@utdallas.edu,&2ou9UZ#rZt8,2023-08-08 00:00:00
172,iem172@utdallas.edu,g+t0cW9u3JM-,2020-02-28 00:00:00
173,bfb173@utdallas.edu,rHlM2=-!4H5G,2020-09-28 00:00:00
174,cgw174@utdallas.edu,aN(J*O_YRX8Z,2022-02-22 00:00:00
175,iam175@utdallas.edu,A6MYiY1hiW*l,2020-10-05 00:00:00
176,dbj176@utdallas.edu,lIqrS1WkJd^(,2024-10-12 00:00:00
177,jdj177@utdallas.edu,9nt2SPEQlAVB,2023-05-16 00:00:00
178,efs178@utdallas.edu,qA_(rqJibR8I,2021-04-06 00:00:00
179,fbb179@utdallas.edu,TVMLcmKUFW%r,2020-06-11 00:00:00
180,adg180@utdallas.edu,!A$cg8f$95j3,2023-03-26 00:00:00
181,hdm181@utdallas.edu,GJr4MbfzDWVB,2022-04-30 00:00:00
182,hjm182@utdallas.edu,v37VGJy95PFr,2021-12-27 00:00:00
183,gfb183@utdallas.edu,LuHYIGR)e^3V,2024-09-18 00:00:00
184,ijm184@utdallas.edu,JW632102zsB3,2021-08-05 00:00:00
185,agb185@utdallas.edu,)JpjMG+70hg^,2022-07-12 00:00:00
186,abm186@utdallas.edu,@+#kn1$iqFik,2023-02-09 00:00:00
187,edw187@utdallas.edu,j14j6nHt7W)p,2024-07-03 00:00:00
188,gcb188@utdallas.edu,Klzd$z+xuctN,2022-06-22 00:00:00
189,gbg189@utdallas.edu,a1^T_X2XlF@s,2020-01-19 00:00:00
190,faj190@utdallas.edu,Aw*lo*0GIyRy,2022-06-13 00:00:00
191,bbl191@utdallas.edu,NQpBZU9G%-$3,2023-05-29 00:00:00
192,gbb192@utdallas.edu,3claly=Jl+E7,2021-05-11 00:00:00
193,iim193@utdallas.edu,yT^JeD33=UW4,2023-09-17 00:00:00
194,ijd194@utdallas.edu,S2-trYD1lbS$,2023-08-25 00:00:00
195,jej195@utdallas.edu,(YxGJ2ahPJhI,2020-07-10 00:00:00
196,ial196@utdallas.edu,k4OX=m3f4-lT,2022-01-05 00:00:00
197,ibg197@utdallas.edu,80Q7ajGWIIIJ,2023-10-13 00:00:00
198,eis198@utdallas.edu,sj_ZeK9RbcfC,2024-01-02 00:00:00
199,gfl199@utdallas.edu,pio-0lJpgvhk,2023-05-20 00:00:00
200,ddm200@utdallas.edu,!pU5rI9kRap3,2023-04-22 00:00:00
201,ggj201@utdallas.edu,hu!ooRpMhdjk,2022-09-24 00:00:00
202,fcj202@utdallas.edu,oszXiNx@XjrK,2022-03-18 00:00:00
203,idj203@utdallas.edu,Z=1*_fo1rnp5,2023-01-15 00:00:00
204,ibg204@utdallas.edu,$FbcazalvQrh,2024-10-26 00:00:00
205,ejw205@utdallas.edu,m7=8iRE3EXXf,2019-10-24 00:00:00
206,edd206@utdallas.edu,MEO^-^MB8Bom,2022-04-15 00:00:00
207,eid207@utdallas.edu,CVTa6YZM-efJ,2020-02-20 00:00:00
208,fjm208@utdallas.edu,7_GoYCqHFbe3,2021-02-09 00:00:00
209,ffm209@utdallas.edu,1HrWE5l8FO!B,2023-01-13 00:00:00
210,gds210@utdallas.edu,b#tq@(_5X5eC,2023-04-24 00:00:00
211,fjw211@utdallas.edu,-ChZf-ba*K)6,2024-12-12 00:00:00
212,adb212@utdallas.edu,Ec(TG%1_YJLe,2022-09-16 00:00:00
213,chj213@utdallas.edu,SChF7WeZ1y$9,2023-06-11 00:00:00
214,bel214@utdallas.edu,5MvJQ+pZzYmA,2023-11-08 00:00:00
215,fam215@utdallas.edu,m^N*F=gdIMZN,2021-06-13 00:00:00
216,bgw216@utdallas.edu,18nD#RLK@_u!,2023-06-14 00:00:00
217,ges217@utdallas.edu,bsTN&M#+qMQC,2019-10-22 00:00:00
218,fbg218@utdallas.edu,_RgIS%4-fdp#,2019-11-15 00:00:00
219,hag219@utdallas.edu,pIVLGXRimzD$,2019-12-12 00:00:00
220,ddg220@utdallas.edu,aTChH4VF64yv,2023-10-08 00:00:00
221,fis221@utdallas.edu,$38CKPz!dMTz,2022-11-11 00:00:00
222,deb222@utdallas.edu,4v1&e+B%y-CG,2023-03-23 00:00:00
223,haj223@utdallas.edu,(&_djU32gRh),2020-06-19 00:00:00
224,afs224@utdallas.edu,sbRFWXLSF4a9,2022-09-14 00:00:00
225,jdm225@utdallas.edu,$Uk6cOsKPC)X,2024-12-29 00:00:00
226,egw226@utdallas.edu,s)H+k3WfSEV1,2020-06-03 00:00:00
227,bhl227@utdallas.edu,$A_ppEnd+uzR,2022-06-01 00:00:00
228,aid228@utdallas.edu,+!$wHBMzTy&#,2019-07-23 00:00:00
229,bim229@utdallas.edu,CgjwJvH(6@RW,2024-10-26 00:00:00
230,ifg230@utdallas.edu,h58ONvIqkS27,2023-05-30 00:00:00
231,gim231@utdallas.edu,4)TelTfTVR6!,2024-04-18 00:00:00
232,acl232@utdallas.edu,&!S1L0WmTazl,2024-12-23 00:00:00
233,hhb233@utdallas.edu,@YjPyzL2sZj=,2021-08-30 00:00:00
234,cbj234@utdallas.edu,TjW1rubLnxfs,2024-03-15 00:00:00
235,jbj235@utdallas.edu,NKga7aOQMxer,2022-06-27 00:00:00
236,dib236@utdallas.edu,o74tp)7sE+e4,2020-03-25 00:00:00
237,ahm237@utdallas.edu,P_ui-Pj$vITY,2023-07-08 00:00:00
238,fdm238@utdallas.edu,^+SxMDxOtI-i,2023-04-11 00:00:00
239,jgw239@utdallas.edu,QYWVb0K1nKxS,2021-05-19 00:00:00
240,gcm240@utdallas.edu,p)YOqMYl1)ea,2022-08-07 00:00:00
241,efm241@utdallas.edu,@Qe!7=4lJiW8,2024-02-03 00:00:00
242,adl242@utdallas.edu,ecSd)xCAV%R!,2022-05-26 00:00:00
243,cfd243@utdallas.edu,RKszPNDN-K-z,2019-03-05 00:00:00
244,bgm244@utdallas.edu,(o=gOxjnH+E!,2021-10-22 00:00:00
245,bfm245@utdallas.edu,a3&-1j_oR(RU,2024-12-26 00:00:00
246,dab246@utdallas.edu,CN*pv0qD9T=+,2024-12-22 00:00:00
247,ges247@utdallas.edu,jY*qS2%$MzTf,2021-02-07 00:00:00
248,fed248@utdallas.edu,JZMc-wp1mpnA,2022-10-29 00:00:00
249,cdm249@utdallas.edu,y=daLH!$8zW3,2023-06-30 00:00:00
250,ajg250@utdallas.edu,TC3&DDF#UejE,2023-05-02 00:00:00
251,gjj251@utdallas.edu,sZ62M9vlK7&!,2023-08-12 00:00:00
252,ejm252@utdallas.edu,zTMak3%fSyB0,2019-05-18 00:00:00
253,efs253@utdallas.edu,d3AH$Z4b9TrZ,2022-02-08 00:00:00
254,agg254@utdallas.edu,SabdWfcgx=B@,2021-10-07 00:00:00
255,ggg255@utdallas.edu,NiEhrJ*fRx5Q,2021-06-27 00:00:00
256,gbd256@utdallas.edu,R(rCDgoY$FCo,2021-01-29 00:00:00
257,dcj257@utdallas.edu,5Yn9D38+G)8C,2024-06-08 00:00:00
258,bbj258@utdallas.edu,Zx)8oC+f$TKn,2024-09-01 00:00:00
259,dgw259@utdallas.edu,#5ECGcJ^J&m_,2020-09-27 00:00:00
260,chl260@utdallas.edu,8KClkDl%A5vn,2022-07-05 00:00:00
261,ads261@utdallas.edu,Fukea*XcX9Jc,2021-03-09 00:00:00
262,egl262@utdallas.edu,(cTNS6hDIL(s,2024-02-22 00:00:00
263,ads263@utdallas.edu,dD=v8f8I=EKL,2022-06-24 00:00:00
264,dhm264@utdallas.edu,bP*1a=DDR#9A,2020-06-19 00:00:00
265,jfl265@utdallas.edu,+clbs&ez$3)(,2024-10-10 00:00:00
266,gab266@utdallas.edu,DNkYuRJ2DL*B,2023-06-23 00:00:00
267,fil267@utdallas.edu,(D&1Uy5N76uM,2020-04-23 00:00:00
268,efm268@utdallas.edu,FENoPvF5#cCm,2025-01-23 00:00:00
269,fhd269@utdallas.edu,c_O&vimmln#O,2024-09-17 00:00:00
270,idj270@utdallas.edu,N#yvqJEBNqWg,2022-08-10 00:00:00
271,fbw271@utdallas.edu,bu$2NI@iSHb!,2020-12-20 00:00:00
272,ecb272@utdallas.edu,Z8otkV_Bt$PE,2023-10-04 00:00:00
273,jem273@utdallas.edu,%nMbz_f3Ve@R,2023-03-11 00:00:00
274,ibj274@utdallas.edu,UU)#(Kytiz)c,2023-09-01 00:00:00
275,hel275@utdallas.edu,&dug_!D#=f+(,2024-05-09 00:00:00
276,ahg276@utdallas.edu,5mdN$X_WB=Cf,2020-12-03 00:00:00
277,hfb277@utdallas.edu,xiSqHezdsV-X,2019-10-11 00:00:00
278,eis278@utdallas.edu,=dH!bEH&*$lh,2023-04-07 00:00:00
279,cfj279@utdallas.edu,9M(tk1+f6Rbd,2024-04-02 00:00:00
280,fhj280@utdallas.edu,uZ+m4S_J67Uw,2024-10-18 00:00:00
281,jjd281@utdallas.edu,wvegakBcCCcA,2023-03-18 00:00:00
282,aag282@utdallas.edu,vkmH^+yT%x&@,2022-01-05 00:00:00
283,ijs283@utdallas.edu,r8Cm#G@OSic#,2024-06-23 00:00:00
284,ejd284@utdallas.edu,nWchakpi1r7i,2020-02-14 00:00:00
285,cfl285@utdallas.edu,0APgXpKyUpEg,2021-07-11 00:00:00
286,ejb286@utdallas.edu,KkKG(b6LwEps,2024-02-07 00:00:00
287,hdl287@utdallas.edu,HH6o!hFt&ZN1,2023-04-16 00:00:00
288,ceg288@utdallas.edu,$%oQxqyybbqW,2020-09-07 00:00:00
289,ahd289@utdallas.edu,TGe98nMz^ljV,2024-11-02 00:00:00
290,fas290@utdallas.edu,Vi62aDMKmE(d,2021-09-14 00:00:00
291,hbm291@utdallas.edu,Lv$!EGEqF3F7,2019-12-14 00:00:00
292,ejb292@utdallas.edu,mAtLCdhyalVu,2023-04-24 00:00:00
293,ial293@utdallas.edu,aea4Tvj^K5^^,2020-05-10 00:00:00
294,jhl294@utdallas.edu,2@H@e&WhtC#@,2020-03-29 00:00:00
295,djg295@utdallas.edu,kGp1fiZv0XlD,2023-12-12 00:00:00
296,jab296@utdallas.edu,7PoehU%6XKz6,2020-12-01 00:00:00
297,jfd297@utdallas.edu,dl(oM1%CG%vl,2019-05-21 00:00:00
298,jdw298@utdallas.edu,Cr2=EPIG4vUP,2019-12-14 00:00:00
299,hjs299@utdallas.edu,tgQQ7pI$stPV,2024-01-30 00:00:00
300,dfj300@utdallas.edu,$UvOFF#KT8=A,2021-03-07 00:00:00
301,ffj301@utdallas.edu,fva$^^#_Yk19,2023-03-09 00:00:00
302,ehw302@utdallas.edu,rLP+ahA%3GJD,2024-09-17 00:00:00
303,gad303@utdallas.edu,21U=#S9wm^TT,2019-07-19 00:00:00
304,bhs304@utdallas.edu,Y6M&H0Kl#*Ft,2021-12-03 00:00:00
305,hfl305@utdallas.edu,pW=@M4P+P7I(,2020-08-03 00:00:00
306,fis306@utdallas.edu,*w+8jlHW#Uc3,2024-02-15 00:00:00
307,dig307@utdallas.edu,OFultPjl2pr%,2020-04-16 00:00:00
308,gbg308@utdallas.edu,J)NLI9uG9N4Z,2021-02-18 00:00:00
309,hew309@utdallas.edu,SfkQeCf&HVdN,2024-04-27 00:00:00
310,bgj310@utdallas.edu,k8clIjwVI6xJ,2024-11-11 00:00:00
311,efs311@utdallas.edu,#54vK$UkT-SV,2020-10-31 00:00:00
312,gjm312@utdallas.edu,tpf&w%-Ezh1y,2020-01-21 00:00:00
313,cim313@utdallas.edu,@V-^!m=piS(D,2020-02-15 00:00:00
314,agm314@utdallas.edu,7v1BzU68Hltk,2021-05-01 00:00:00
315,eis315@utdallas.edu,bIcWpFFJaKaS,2022-10-18 00:00:00
316,igd316@utdallas.edu,SIM4U@tswxZd,2022-08-17 00:00:00
317,jcs317@utdallas.edu,tAiCJETyutIc,2021-03-31 00:00:00
318,hjd318@utdallas.edu,+4G&qN!ZJrcu,2019-01-16 00:00:00
319,ahw319@utdallas.edu,0JW&jfT&Qsc2,2022-02-13 00:00:00
320,dew320@utdallas.edu,EFm&rtI6mU4E,2023-10-25 00:00:00
321,hgm321@utdallas.edu,2*cGdVWEYOFy,2020-01-22 00:00:00
322,ahm322@utdallas.edu,t3eMrAi+SxN*,2021-12-01 00:00:00
323,dcd323@utdallas.edu,A8x$e20Q6Tz7,2022-01-10 00:00:00
324,dgj324@utdallas.edu,@a!!YsJ-e=R$,2023-03-28 00:00:00
325,ieb325@utdallas.edu,hx=TQnu!i#Bn,2022-07-21 00:00:00
326,bhd326@utdallas.edu,With4Mcfxtfv,2022-03-23 00:00:00
327,hdg327@utdallas.edu,X*19q7K9m!%-,2022-08-17 00:00:00
328,bgm328@utdallas.edu,iZGDix0PGHeL,2021-05-31 00:00:00
329,gbw329@utdallas.edu,L*NL6b_(a!Zi,2022-07-26 00:00:00
330,ifg330@utdallas.edu,4URXSZX%5MPp,2022-09-08 00:00:00
331,igl331@utdallas.edu,ooZz=5eJXZ@F,2024-04-15 00:00:00
332,dfj332@utdallas.edu,cD+0tV0AJVyE,2020-11-29 00:00:00
333,bim333@utdallas.edu,B7zMK8YRetgG,2020-07-03 00:00:00
334,ecs334@utdallas.edu,I3O*@AWm4MFa,2023-01-15 00:00:00
335,eam335@utdallas.edu,o4E6p#eJ2vDl,2023-01-24 00:00:00
336,cdb336@utdallas.edu,OhB)#llLhofo,2021-01-09 00:00:00
337,bdm337@utdallas.edu,va^-@W4PrUnh,2021-01-15 00:00:00
338,has338@utdallas.edu,heHx!mizBXA=,2020-11-30 00:00:00
339,dfs339@utdallas.edu,)TpCb6jx!(T=,2019-01-08 00:00:00
340,caj340@utdallas.edu,p!q%4pJJ(yN!,2020-12-15 00:00:00
341,bjg341@utdallas.edu,%K+WT@6chS4T,2023-01-05 00:00:00
342,bfj342@utdallas.edu,hXLmTxET2+m7,2021-05-27 00:00:00
343,ehj343@utdallas.edu,*7+q&1bn22ky,2020-04-14 00:00:00
344,ddl344@utdallas.edu,VnzSO88-QNpO,2021-07-08 00:00:00
345,hel345@utdallas.edu,*tA!&K6_+TR),2023-04-18 00:00:00
