SSN,Status
387611836,Sophomore
100000060,Sophomore
289329422,Graduated
763845353,Senior
275469003,Graduated
317026478,Senior
100000061,Sophomore
339113928,Graduated
865941906,Sophomore
858977303,Junior
140854214,Sophomore
894194477,Sophomore
418461660,Dropped
490512774,Dropped
398790005,Sophomore
586894827,Dropped
666849402,Senior
792385108,Senior
416892316,Freshman
532373775,Junior
418483364,Freshman
188645228,Graduated
100000062,Graduated
100000063,Freshman
272062947,Junior
382992890,Sophomore
760821508,Sophomore
768332960,Graduated
931138684,Junior
749894730,Junior
163144477,Freshman
789471894,Dropped
992249922,Freshman
700696802,Junior
771769527,Junior
100000064,Graduated
380068897,Junior
657564362,Senior
827264059,Dropped
376226153,Sophomore
100000065,Junior
233591784,Senior
194417344,Senior
398186645,Freshman
931829666,Sophomore
545649191,Senior
576714281,Sophomore
223383941,Senior
962003519,Senior
981073463,Junior
509240053,Senior
562361311,Dropped
667242478,Senior
378099207,Sophomore
644201171,Graduated
360845038,Junior
665782379,Freshman
511830307,Freshman
100000066,Dropped
225683584,Sophomore
173005297,Graduated
100000067,Graduated
126201917,Freshman
613091281,Sophomore
472021651,Junior
860135887,Dropped
655470897,Graduated
737182473,Sophomore
455496409,Senior
100000068,Junior
681019725,Dropped
578425364,Junior
634577579,Senior
432790588,Senior
545726850,Graduated
100000069,Senior
969872661,Senior
378989510,Junior
202440930,Graduated
792516743,Senior
555946347,Graduated
961243520,Dropped
100000070,Sophomore
732002800,Dropped
318224165,Senior
100000071,Senior
403181647,Junior
492965119,Sophomore
481585099,Dropped
540421525,Senior
551041612,Senior
435837039,Dropped
581097716,Sophomore
512679911,Freshman
100000072,Senior
577483577,Junior
380576265,Dropped
114203867,Senior
148738946,Senior
557024415,Junior
381743739,Junior
639433342,Sophomore
360724385,Sophomore
714516838,Freshman
871575955,Senior
932555948,Junior
979347367,Junior
424527880,Sophomore
927626135,Freshman
489757320,Freshman
545254572,Senior
397267491,Graduated
492303831,Graduated
100000073,Senior
854481856,Freshman
100000074,Senior
548952570,Sophomore
100000075,Graduated
100000076,Junior
710143224,Junior
231748591,Senior
100000077,Freshman
763508124,Freshman
479364124,Sophomore
556795788,Graduated
796740966,Graduated
377199028,Freshman
651780571,Freshman
145050736,Senior
452353461,Junior
428474999,Sophomore
483166548,Sophomore
705384871,Sophomore
117355142,Freshman
654609222,Graduated
863861244,Dropped
885256329,Junior
408879995,Freshman
567401867,Senior
354976571,Freshman
855319285,Junior
734381336,Sophomore
684848478,Graduated
375352489,Dropped
100000078,Junior
711096461,Freshman
949654912,Freshman
309825939,Junior
194548435,Dropped
810893430,Junior
672131534,Dropped
773993718,Freshman
553827906,Freshman
100000079,Junior
288234191,Graduated
907966255,Senior
283239270,Freshman
364395136,Sophomore
610363248,Dropped
626390105,Sophomore
857969521,Freshman
197937220,Graduated
171799316,Graduated
796693260,Junior
155884239,Dropped
818977738,Freshman
717996677,Sophomore
609492883,Graduated
656843612,Graduated
688777625,Junior
665866163,Sophomore
557548716,Sophomore
569379641,Freshman
100000080,Junior
527064819,Dropped
536540870,Sophomore
730232380,Graduated
100000081,Freshman
134245824,Sophomore
571243192,Senior
935311638,Junior
820310423,Senior
932770935,Junior
808966474,Senior
100000082,Sophomore
887079062,Graduated
769085819,Dropped
390716057,Freshman
294163442,Graduated
100000083,Junior
322635152,Graduated
845842315,Graduated
327094002,Freshman
550141983,Dropped
920850538,Freshman
976248110,Dropped
946552908,Graduated
256338470,Freshman
469554539,Senior
695437289,Senior
649526960,Senior
397874025,Junior
289875157,Sophomore
100000084,Dropped
764007942,Senior
100000085,Sophomore
546222657,Graduated
811579203,Senior
555794856,Graduated
415718967,Freshman
381627527,Freshman
325266190,Senior
204673498,Senior
126297191,Dropped
707493216,Dropped
492199490,Freshman
922625532,Graduated
188522794,Freshman
100000086,Freshman
708666525,Freshman
150590028,Junior
176301316,Sophomore
515307307,Freshman
540566016,Freshman
119931620,Junior
100000087,Graduated
833125144,Graduated
321518394,Senior
135467474,Dropped
571673439,Senior
360696328,Freshman
327476774,Junior
456744286,Junior
564813482,Sophomore
439516495,Freshman
452186693,Senior
372736581,Sophomore
784358717,Graduated
412722540,Freshman
734475637,Graduated
843683820,Dropped
100000088,Senior
297149847,Freshman
925018754,Junior
600016458,Dropped
854960070,Senior
300026832,Junior
508652510,Freshman
304665873,Senior
519233506,Graduated
291301763,Graduated
785418685,Dropped
249898537,Sophomore
487456546,Freshman
177664067,Sophomore
524160345,Junior
945623225,Sophomore
750793970,Senior
936096402,Junior
843504044,Freshman
100000089,Dropped
230419529,Junior
806990222,Freshman
599212518,Senior
273069947,Sophomore
709464906,Freshman
911971956,Junior
626067603,Freshman
772580855,Freshman
288593626,Senior
911614083,Sophomore
100000090,Junior
608651863,Junior
542536212,Graduated
101193188,Sophomore
481870443,Dropped
191247014,Dropped
645926739,Graduated
989610007,Senior
100000091,Graduated
140885336,Senior
653796008,Graduated
622966093,Freshman
877831367,Junior
100000092,Sophomore
384921160,Junior
647506395,Dropped
951297565,Sophomore
305548431,Senior
834118527,Senior
784151492,Junior
787560780,Junior
997926025,Senior
643941209,Dropped
173346369,Freshman
113129880,Senior
857940763,Freshman
199147070,Graduated
512038250,Sophomore
122610077,Senior
622244780,Graduated
626176346,Sophomore
434921694,Sophomore
448757944,Freshman
907951242,Dropped
929699153,Graduated
854562728,Freshman
568629556,Junior
100000093,Freshman
850748445,Dropped
693105427,Freshman
616819312,Graduated
464987893,Freshman
511379958,Dropped
985381569,Graduated
451218285,Dropped
335306418,Senior
212932310,Junior
951667280,Graduated
335667229,Junior
964885267,Senior
538711442,Senior
903587690,Freshman
502366097,Freshman
920150314,Sophomore
569423933,Graduated
542384857,Senior
338638698,Graduated
855786372,Dropped
587348156,Senior
472427205,Dropped
846986397,Junior
774550255,Dropped
596087488,Freshman
508046778,Dropped
129474045,Dropped
525204661,Senior
559519684,Freshman
433200315,Graduated
974650131,Junior
717760785,Sophomore
946556527,Sophomore
305615009,Senior
100000094,Dropped
239970027,Senior
407746958,Graduated
378688376,Freshman
712848348,Sophomore
807783937,Freshman
702951002,Junior
204569801,Sophomore
100000095,Senior
524078148,Sophomore
100000096,Dropped
667047595,Sophomore
992888150,Senior
100000097,Graduated
670178227,Senior
643940275,Junior
578896162,Dropped
950907610,Freshman
125220880,Dropped
918394307,Dropped
100000098,Sophomore
