StudentSSN,SectionID,Grade
679411264,165,3.5
679411264,280,3.6
679411264,120,3.8
679411264,278,3.7
246499922,214,2.9
246499922,84,2.4
246499922,240,3.8
246499922,207,3.7
246499922,52,3.9
617819228,9,2.3
617819228,230,2.1
617819228,73,2.5
617819228,278,2.5
617819228,187,2.3
617819228,53,3.1
248946972,223,2.5
248946972,71,3.4
248946972,99,3.4
248946972,138,2.3
248946972,143,2.6
248946972,247,3
347842732,157,3.8
347842732,141,3.5
347842732,70,2.1
347842732,118,3.4
347842732,246,3
347842732,239,2.3
555638528,38,3.8
555638528,121,3.7
555638528,103,2.4
555638528,219,3.5
873784666,72,2.7
873784666,291,2.8
873784666,294,3.7
873784666,122,3.9
873784666,250,4
873784666,165,3.7
448757944,83,3.6
448757944,174,3.3
448757944,156,2.4
448757944,95,3.2
448757944,73,2.1
448757944,237,3.6
247902318,248,3.8
247902318,108,2.9
247902318,213,4
247902318,56,3.9
247902318,152,2.8
247902318,219,4
247902318,7,3.9
853677263,131,3.5
853677263,253,3.6
853677263,29,2.8
853677263,177,3.6
853677263,84,2.1
853677263,75,2.1
684848478,287,3.7
684848478,156,2.5
684848478,121,3.4
684848478,243,3.7
433200315,249,3.3
433200315,229,2.6
433200315,141,2.5
433200315,68,2.7
433200315,303,2.1
433200315,260,3.6
562898293,51,2.8
562898293,187,3.1
562898293,138,2.7
562898293,204,3.3
562898293,106,2.9
562898293,216,2.4
932555948,273,3.1
932555948,102,3.5
932555948,153,3.2
932555948,64,3.7
932555948,9,3.1
339708300,142,2.5
339708300,109,3.4
339708300,78,3
339708300,10,2.7
339708300,80,3
339708300,273,3.7
872197714,194,3.1
872197714,315,2.6
872197714,92,2.4
872197714,147,2.9
872197714,57,3.9
872197714,24,2.8
100000026,196,3.1
100000026,119,2.3
100000026,175,2.6
100000026,25,2
100000026,107,2.7
100000026,290,3.3
455496409,295,2.5
455496409,112,3
455496409,175,3.5
455496409,94,3.4
634577579,49,2.1
634577579,232,2.8
634577579,104,3.2
634577579,187,2.1
634577579,201,3.5
213046640,205,2.9
213046640,131,3.2
213046640,178,2.8
213046640,123,3.7
213046640,15,3.5
789244692,32,2.8
789244692,224,3.9
789244692,64,3.4
789244692,137,3.1
789244692,232,3.1
550141983,218,3.1
550141983,246,3.8
550141983,94,3.8
550141983,152,2.4
550141983,253,2.8
872400342,124,3.3
872400342,43,2.2
872400342,2,2.4
872400342,66,3.4
872400342,315,3
872400342,41,3
859707809,301,3.5
859707809,122,3.1
859707809,104,3.5
859707809,197,4
490512774,56,2.8
490512774,64,3.4
490512774,191,2.2
490512774,317,3
490512774,152,3.5
490512774,164,2.3
764007942,69,3.4
764007942,39,2.6
764007942,131,3.9
764007942,218,2.1
764007942,300,2.7
375352489,135,3.9
375352489,85,2.2
375352489,77,4
375352489,191,2.8
375352489,194,3.3
375352489,30,2.3
375352489,118,2.4
100000082,25,3.6
100000082,238,2.1
100000082,91,2.5
100000082,211,3.1
100000082,55,3.5
100000082,83,2.9
100000082,116,2.6
390716057,291,3.5
390716057,59,2.2
390716057,273,2.6
390716057,203,2.4
390716057,172,3.5
390716057,290,3.1
931829666,151,3.4
931829666,301,3.1
931829666,264,3.2
931829666,82,2.7
931829666,83,3.1
456744286,63,3.1
456744286,99,3.5
456744286,156,3.7
456744286,318,2.6
456744286,40,2.9
100000067,293,2.8
100000067,255,3.8
100000067,269,3.8
100000067,72,3.6
100000067,214,3.3
100000067,122,2.5
100000067,320,3.7
702951002,243,3.3
702951002,15,3
702951002,152,4
702951002,140,2
702951002,172,2
702951002,107,2.9
200700144,78,3.4
200700144,138,3.5
200700144,202,3.8
200700144,269,2.3
139620818,68,3.6
139620818,249,3.2
139620818,288,3.7
139620818,178,2.4
139620818,218,2.8
400536409,240,2.1
400536409,157,3.1
400536409,90,2.6
400536409,33,3.5
400536409,96,3.7
127440715,93,2.3
127440715,161,3
127440715,3,3.1
127440715,233,2.6
127440715,226,2.6
127440715,179,2.5
232463973,29,3.8
232463973,141,4
232463973,251,2.4
232463973,139,3.3
232463973,273,3.2
917119093,14,3.5
917119093,199,2.9
917119093,63,3.4
917119093,101,2.4
917119093,56,2.9
917119093,122,3.9
917119093,236,3.2
863861244,288,2.3
863861244,279,3.7
863861244,181,3.7
863861244,180,3.1
863861244,294,2.2
863861244,313,3.6
863861244,123,2.4
421168155,197,2.8
421168155,102,2.9
421168155,54,3
421168155,60,2.9
421168155,82,3.7
818021944,179,3.1
818021944,41,2.3
818021944,139,3.7
818021944,35,2.4
818021944,195,3.4
818021944,74,2.4
818021944,69,3.9
139675375,248,3.5
139675375,92,3.3
139675375,170,3.9
139675375,244,3.2
139675375,227,2.9
731921613,173,2.5
731921613,125,3.3
731921613,68,4
731921613,53,3.1
731921613,70,2.1
731921613,75,2.9
877831367,165,2.9
877831367,141,3.4
877831367,62,2.5
877831367,256,2.3
877831367,262,2
877831367,293,3.8
877831367,135,2.8
697479426,242,3.6
697479426,135,2.7
697479426,29,2.2
697479426,64,2.4
697479426,260,3.8
148738946,91,3.8
148738946,76,2.3
148738946,47,3.2
148738946,312,3.5
148738946,120,2.7
148738946,249,2.3
148738946,46,2.3
100000062,106,2.2
100000062,3,3.6
100000062,91,3.7
100000062,140,3.6
100000062,33,2.1
100000062,134,2.3
100000062,64,2.8
577483577,215,3.2
577483577,291,3.6
577483577,209,3.9
577483577,55,2.5
577483577,19,3.1
577483577,245,3.9
577483577,137,2.3
922625532,278,2.9
922625532,28,3.4
922625532,318,3
922625532,151,2.1
922625532,278,3.2
511379958,90,3.5
511379958,253,3.7
511379958,17,3.3
511379958,32,2.2
511379958,147,2
511379958,203,2.2
511379958,313,3.4
578896162,166,3.6
578896162,49,4
578896162,294,2.3
578896162,223,3.7
578896162,209,3.8
578896162,173,2.9
448517496,33,2.1
448517496,174,3
448517496,125,2.5
448517496,299,2.4
448517496,106,3.3
448517496,317,3.4
848500860,154,3.6
848500860,11,2.5
848500860,121,2.4
848500860,187,2.9
848500860,312,2
848500860,128,3
848500860,316,3.7
592515220,62,2.4
592515220,305,2.8
592515220,147,2.2
592515220,10,3.1
592515220,177,2.3
100000068,8,3.8
100000068,182,3.3
100000068,45,2.3
100000068,271,2.1
378100947,189,2.5
378100947,161,3.9
378100947,309,3.8
378100947,296,3.8
378100947,277,3.3
378100947,162,3.3
287986033,272,2.1
287986033,128,3.1
287986033,307,2
287986033,110,2.1
287986033,307,2.5
287986033,259,3.4
695769552,253,2.9
695769552,165,2.6
695769552,210,4
695769552,285,2.2
695769552,70,3.4
665084529,271,3.8
665084529,78,3.2
665084529,28,3.6
665084529,12,2.8
665084529,87,3.2
665084529,282,3.4
619319418,293,2.9
619319418,127,2.8
619319418,8,3.9
619319418,27,2.2
415343665,61,2.6
415343665,298,2
415343665,160,2.7
415343665,17,3.2
415343665,273,3.9
100000059,26,2.6
100000059,101,2.3
100000059,34,2.3
100000059,201,2
100000059,70,2.1
100000059,134,2.2
100000059,165,3.8
100000065,149,3.5
100000065,288,3.5
100000065,321,3
100000065,226,2.9
100000065,283,2.8
100000065,238,2.9
558020914,42,2.2
558020914,251,2.5
558020914,32,2.3
558020914,91,2.8
558020914,311,2.1
558020914,149,2.8
558020914,56,2.5
575250883,255,2.2
575250883,51,3.2
575250883,221,2.9
575250883,195,2.4
575250883,237,3.8
497423343,31,2.1
497423343,33,3.3
497423343,204,3.8
497423343,314,3.2
497423343,113,2.9
222025475,105,2.8
222025475,246,3.8
222025475,85,3
222025475,81,2.4
222025475,113,3.3
981073463,247,3.6
981073463,65,3.8
981073463,129,3.8
981073463,31,3.3
981073463,8,2.4
981073463,252,2.3
350916127,290,2.4
350916127,151,2
350916127,80,2.3
350916127,305,3.3
350916127,27,2.2
903552170,2,3.4
903552170,60,3.6
903552170,68,2.9
903552170,149,3.2
903552170,249,3.9
903552170,90,2.5
564813482,295,3.1
564813482,58,3.1
564813482,10,3.4
564813482,194,3.5
564813482,72,3.3
564813482,211,2.4
469554539,115,3.4
469554539,178,3.3
469554539,150,3.1
469554539,275,2.5
469554539,173,3
469554539,311,3.5
428474999,321,3.2
428474999,178,2.1
428474999,71,3.4
428474999,306,3.6
428474999,218,2
100000017,66,2.9
100000017,93,3.8
100000017,176,2.1
100000017,190,2.7
100000017,111,3
610807352,164,3.9
610807352,193,2.8
610807352,289,3.3
610807352,289,3.4
610807352,57,3.9
854562728,196,3.1
854562728,175,2
854562728,80,3.2
854562728,294,3.3
854562728,165,3.1
854562728,118,3.7
220660195,122,3.1
220660195,194,3.1
220660195,185,2.3
220660195,216,3.4
220660195,59,3.8
797964938,122,3.6
797964938,85,3.1
797964938,37,3.2
797964938,222,2.1
797964938,60,3.7
140504709,163,3.3
140504709,134,2.1
140504709,234,3.4
140504709,207,2.1
140504709,76,3.2
140504709,43,3.5
492915814,149,2.9
492915814,211,3.2
492915814,187,3.2
492915814,177,2.5
798378606,119,3
798378606,51,3.2
798378606,84,2.5
798378606,28,3.7
798378606,171,2.4
798378606,209,3.3
614231199,166,2.8
614231199,56,2.9
614231199,33,2.7
614231199,228,2.1
614231199,222,3.3
614231199,223,3.4
614231199,275,2.2
532823545,299,2.4
532823545,297,2.1
532823545,15,3.7
532823545,253,2
532823545,204,2.7
140514537,78,2.4
140514537,165,3.6
140514537,308,3.5
140514537,192,2.5
140514537,70,2.6
140514537,127,3.9
493112501,273,3.9
493112501,7,3.6
493112501,92,2.2
493112501,155,2.4
493112501,135,2.4
493112501,260,3.6
493112501,173,2.3
100000052,207,2.9
100000052,183,3.1
100000052,54,2.6
100000052,257,3.6
100000052,39,3.5
552297348,43,3.4
552297348,297,2.5
552297348,267,2.2
552297348,262,2.9
552297348,316,3.8
552297348,72,2.8
563951297,275,3.8
563951297,61,3.9
563951297,320,2.5
563951297,24,4
563951297,147,3.3
855319285,248,2
855319285,134,3.7
855319285,309,3.4
855319285,149,2.4
855319285,93,2.2
855319285,18,3.7
796710786,76,2.8
796710786,130,2.3
796710786,38,2.5
796710786,223,2.9
796710786,97,3.5
796710786,166,2.1
796710786,291,2.5
289329422,9,2.2
289329422,64,2.5
289329422,15,2.2
289329422,229,3.2
289329422,131,3.2
289329422,36,3.1
670178227,108,3.2
670178227,315,3
670178227,309,3.4
670178227,27,4
670178227,186,3.8
608651863,191,2.1
608651863,79,2.3
608651863,155,3.2
608651863,60,2.8
608651863,80,3.3
608651863,107,3.7
608651863,9,2.4
576687226,102,3.8
576687226,171,2.9
576687226,118,3.6
576687226,32,3.3
576687226,248,3.9
576687226,256,3.2
576687226,222,2.9
174332696,131,3.7
174332696,18,2.4
174332696,146,2.8
174332696,85,3.3
174332696,263,2.8
174332696,16,2.6
444364698,51,3.9
444364698,220,2.2
444364698,139,3.4
444364698,202,2.7
444364698,252,3.3
629067319,34,3.9
629067319,245,3.8
629067319,264,3.7
629067319,83,3.4
629067319,263,2.1
629067319,72,3.3
100000036,186,3.1
100000036,119,3.3
100000036,36,2.9
100000036,214,4
100000036,146,2.4
100000036,162,3.3
545686211,72,2.5
545686211,176,2.2
545686211,23,2
545686211,267,2.9
545686211,166,2.4
545686211,263,2.3
545686211,239,2.8
959441262,314,3.8
959441262,291,2.5
959441262,89,3.2
959441262,66,4
959441262,102,3.6
959441262,155,2.5
959441262,272,3.6
123155514,137,3.5
123155514,176,3.5
123155514,99,2.6
123155514,134,3.8
123155514,258,3.6
951367056,175,3.3
951367056,96,3.4
951367056,276,3.8
951367056,21,3.4
951367056,171,3.9
951367056,253,3.1
947378132,180,3.6
947378132,64,3.3
947378132,252,2.2
947378132,105,2.2
947378132,224,3.2
947378132,221,2.8
100000051,192,3.1
100000051,180,3.6
100000051,52,2.5
100000051,248,2.7
100000051,216,3.1
100000054,189,3.5
100000054,296,3.4
100000054,258,3.4
100000054,36,3.5
100000054,60,3.3
100000054,284,3.7
100000076,110,3.9
100000076,261,3.8
100000076,255,2.9
100000076,18,3.7
100000076,88,2.1
100000076,107,2.6
100000076,171,3.7
553115802,266,2.3
553115802,213,3.8
553115802,299,2.7
553115802,318,3.3
553115802,40,3.4
553115802,3,3.2
553115802,149,2.8
652611160,201,2.4
652611160,242,3
652611160,242,3.9
652611160,157,3.1
652611160,42,3.1
652611160,180,3.1
652611160,250,3.3
925018754,249,3
925018754,29,2.8
925018754,97,3
925018754,120,2.9
925018754,306,3.2
568885552,182,2.8
568885552,128,2.1
568885552,144,2.8
568885552,234,2.6
931138684,11,3.4
931138684,94,3.7
931138684,301,3.4
931138684,310,2
931138684,52,2.3
931138684,46,2.6
931138684,4,3.8
173346369,46,3.8
173346369,192,2.6
173346369,149,2.4
173346369,160,3.3
173346369,248,3.3
984951643,46,2.5
984951643,259,3
984951643,136,3.8
984951643,244,2.6
984951643,90,2.7
984951643,207,3
351694746,250,3.7
351694746,142,2.4
351694746,216,2.1
351694746,257,2.5
351694746,24,3.6
351694746,96,3.3
351694746,223,3.3
713964741,240,2.4
713964741,199,3.9
713964741,246,3.2
713964741,53,2.6
713964741,68,3
713964741,191,3.9
655470897,128,3.8
655470897,167,2.3
655470897,233,3.1
655470897,108,2
200326629,213,3.3
200326629,236,3.4
200326629,185,2.9
200326629,192,3.7
200326629,239,2.8
200326629,308,2.9
200326629,85,3
920850538,147,2.6
920850538,165,3.1
920850538,239,2.5
920850538,275,3.3
920850538,237,3.2
586894827,287,3.6
586894827,26,3.1
586894827,221,3.3
586894827,111,3.6
586894827,234,2.3
354896138,290,3.9
354896138,216,4
354896138,22,3.1
354896138,2,3.5
354896138,34,2.9
354896138,78,2.1
354896138,171,2.9
300178145,39,2.1
300178145,280,3.2
300178145,163,2.9
300178145,317,2.2
300178145,257,3.5
381743739,292,2.5
381743739,145,3.6
381743739,273,3.3
381743739,306,2.5
381743739,82,3
632058071,116,2.8
632058071,178,2.5
632058071,128,2.9
632058071,76,3.4
632058071,282,3.5
632058071,179,3.6
175673079,86,3.3
175673079,175,3.3
175673079,18,2.1
175673079,1,3.6
175673079,127,2.9
175673079,251,2.7
175673079,155,2.9
365328759,185,2.9
365328759,176,3.2
365328759,268,3.9
365328759,21,2.7
365328759,294,3.3
365328759,155,3.7
365328759,13,3.2
523698157,31,2.7
523698157,19,2.1
523698157,315,2.8
523698157,85,2.3
523698157,8,3.9
100000029,315,2.2
100000029,27,3.2
100000029,284,3.9
100000029,122,3.5
380068897,187,3.6
380068897,19,3.4
380068897,93,2.3
380068897,273,2.8
380068897,87,2.1
380068897,57,3.2
538279222,290,3.1
538279222,263,3.1
538279222,249,2.1
538279222,228,2.5
538279222,123,3.9
705281293,20,2.1
705281293,52,3.4
705281293,17,3.8
705281293,305,4
705281293,317,3.9
705281293,109,3.4
204673498,169,2.8
204673498,60,2.1
204673498,34,2.3
204673498,176,3.4
204673498,297,2.8
204673498,292,3.2
709464906,97,2.1
709464906,104,3.9
709464906,202,2.6
709464906,236,4
709464906,46,3.2
709464906,31,3.6
385332923,207,2.9
385332923,148,2.8
385332923,205,3.6
385332923,251,2.9
385332923,148,3.3
354735680,136,3.3
354735680,153,3
354735680,139,3.3
354735680,8,3.5
354735680,214,3.5
114203867,313,3.3
114203867,110,2.6
114203867,146,3.5
114203867,188,3.3
114203867,165,3.4
100000060,245,2.5
100000060,279,2.6
100000060,18,3.2
100000060,65,3.5
100000060,239,3.7
532010062,206,2.8
532010062,265,3.1
532010062,100,2.4
532010062,210,2.8
532010062,190,3.5
532010062,195,2.5
245120297,314,3.8
245120297,252,2
245120297,169,3.1
245120297,174,3.6
245120297,24,3.7
288593626,154,3.5
288593626,223,2.3
288593626,311,2.4
288593626,107,3.1
288593626,10,3.1
865728004,316,3.3
865728004,200,3.1
865728004,212,3
865728004,277,2.8
865728004,133,3.8
865728004,285,3.6
226323832,69,3.3
226323832,220,3.3
226323832,23,2.6
226323832,58,3.2
226323832,270,2.8
643940275,250,2.3
643940275,285,3.2
643940275,185,2.1
643940275,174,2.8
643940275,154,3
562361311,17,2.4
562361311,23,2.3
562361311,250,3.8
562361311,277,2.9
562361311,28,2
562361311,294,3
126902403,240,2.7
126902403,189,2
126902403,195,2.5
126902403,103,3.3
126902403,266,3.9
126902403,202,2.5
126902403,311,3.4
863425755,90,2.7
863425755,19,2.3
863425755,231,3.9
863425755,154,2.5
863425755,56,3.7
863425755,136,2.8
693959601,41,3.3
693959601,287,3.2
693959601,188,2.9
693959601,71,2.7
693959601,297,3.8
548952570,120,3.5
548952570,287,3.3
548952570,286,2.3
548952570,95,2.1
548952570,270,3.3
691369051,11,2.8
691369051,100,3.1
691369051,214,2.9
691369051,198,3.8
691369051,65,2.1
691369051,153,2.6
622244780,178,2.4
622244780,35,3.6
622244780,105,3.6
622244780,213,2.4
622244780,18,2.8
622244780,166,3.1
974650131,94,3.5
974650131,182,3.2
974650131,58,2.5
974650131,50,3.2
974650131,309,2.9
974650131,69,2.5
878803525,130,2.5
878803525,4,3.8
878803525,246,3.4
878803525,251,3
878803525,190,3.8
878803525,212,2.1
750176742,147,3.5
750176742,281,3.2
750176742,49,2.4
750176742,275,3.8
325266190,27,3.7
325266190,31,2.6
325266190,247,3.9
325266190,82,4
325266190,110,3.6
325266190,229,2.1
100000028,191,2.1
100000028,148,2.6
100000028,284,2.6
100000028,112,3.8
100000028,177,3.6
100000028,249,2
100000009,43,2.9
100000009,210,3.7
100000009,111,2.7
100000009,168,2.8
100000009,56,2.5
626067603,69,2.3
626067603,34,2.6
626067603,163,2.9
626067603,28,2.4
626067603,149,2.6
129280263,139,2.5
129280263,308,2.9
129280263,280,3.9
129280263,27,2.3
129280263,255,2.2
609492883,86,3.5
609492883,208,2.9
609492883,221,3.8
609492883,71,2.7
609492883,14,2.4
609492883,61,3.8
273069947,283,2.1
273069947,286,2.1
273069947,309,2
273069947,211,2.4
728533392,157,2
728533392,82,3.4
728533392,74,2.2
728533392,265,2.5
728533392,212,2.9
728533392,29,2.9
598032398,58,2.7
598032398,267,2.9
598032398,90,2.7
598032398,10,2.4
598032398,51,3.8
546664614,208,3
546664614,214,2.5
546664614,271,3.8
546664614,46,2.6
546664614,270,3.2
546664614,129,4
484315908,141,2.7
484315908,254,3.9
484315908,117,2
484315908,99,2.2
484315908,20,2.4
484315908,269,2.6
665866163,188,4
665866163,265,2.9
665866163,314,2.6
665866163,200,3.5
665866163,66,3.9
665866163,212,3.5
305548431,157,2.8
305548431,74,3.9
305548431,15,2.7
305548431,295,2.3
305548431,32,2.6
305548431,220,2
826354697,240,3.5
826354697,118,2.7
826354697,251,3.4
826354697,279,3.3
826354697,185,2.1
826354697,210,3.9
789313016,55,2.1
789313016,250,2.2
789313016,1,2.1
789313016,202,3.5
789313016,144,3.5
427441052,252,2.3
427441052,92,3.6
427441052,186,2.5
427441052,58,2.9
427441052,52,2
427441052,22,2.3
427441052,49,2.5
962003519,104,3
962003519,251,3.1
962003519,248,2.7
962003519,317,3
962003519,318,3.7
204569801,64,2.5
204569801,81,2.9
204569801,125,2.6
204569801,85,3.7
992677232,7,3
992677232,146,2.4
992677232,303,3
992677232,282,2.9
992677232,225,2.5
992677232,22,2.1
992677232,121,2
222772332,123,3.8
222772332,209,2.7
222772332,136,2.5
222772332,318,3.4
222772332,139,2.8
222772332,178,2
100000096,203,3.1
100000096,84,3.8
100000096,170,3.5
100000096,228,3.4
100000096,44,2.6
100000096,82,2.2
100000096,217,3.3
675345800,39,3.2
675345800,162,2.4
675345800,298,3.4
675345800,218,3.2
675345800,83,3.2
675345800,26,3
438701890,11,3.5
438701890,162,2.8
438701890,98,3.2
438701890,217,3.5
438701890,81,3.5
459333929,255,3.6
459333929,39,2.4
459333929,143,2.1
459333929,248,2.8
459333929,282,2.3
459333929,32,2.7
459333929,300,2.2
784358717,85,3.2
784358717,179,2.6
784358717,76,3.3
784358717,144,4
784358717,259,2.8
784358717,246,2
784358717,10,2.5
100000033,14,2.5
100000033,212,3.4
100000033,199,2.2
100000033,205,2.5
100000033,298,2.9
100000033,312,4
100000033,145,2
100000086,161,4
100000086,58,2.7
100000086,34,3.7
100000086,319,2.8
100000086,225,2.1
100000086,12,3.7
100000008,44,2.8
100000008,304,2.6
100000008,75,2.9
100000008,119,2.9
100000008,35,3.7
653139111,183,3.4
653139111,202,2.5
653139111,169,3.5
653139111,72,3.3
653139111,259,2.6
653139111,64,3.6
653139111,218,3.7
109730698,22,3.3
109730698,86,3.5
109730698,29,3.3
109730698,1,3.1
109730698,82,3.8
109730698,70,2.3
109730698,97,2.5
811705918,292,2.4
811705918,158,3.9
811705918,161,2.7
811705918,201,3.4
811705918,16,2.5
858977303,193,3.5
858977303,294,2.2
858977303,254,2.3
858977303,54,2
858977303,313,3.1
858977303,225,3
920150314,181,3.2
920150314,254,3.7
920150314,54,3.7
920150314,252,2.7
920150314,196,2.4
559519684,30,2.3
559519684,58,2.5
559519684,193,2
559519684,61,3.4
559519684,76,2.4
412722540,95,2.2
412722540,178,4
412722540,276,3.8
412722540,77,3.3
412722540,15,3.9
439516495,186,3.3
439516495,195,3.5
439516495,259,3.4
439516495,181,2.9
976061078,159,3.6
976061078,31,2.6
976061078,159,2.4
976061078,33,3.5
976061078,160,3.5
976061078,281,2.3
976061078,137,3.6
642064066,204,3.5
642064066,112,2.8
642064066,10,2.2
642064066,125,3
642064066,244,2.2
239723563,253,3.7
239723563,136,3.3
239723563,233,2.1
239723563,239,2.5
239723563,52,3.4
239723563,37,3.6
239723563,214,3.1
768332960,100,2.9
768332960,25,3.8
768332960,295,3
768332960,250,3.5
768332960,107,3.2
768332960,289,3.4
420943618,76,3.5
420943618,59,2.1
420943618,212,2.7
420943618,88,2.6
420943618,241,2.2
420943618,202,3.8
689586330,188,3.4
