Section_ID,Section_Number,Course_ID,Location,S_Info,S_Capacity,Date,ProfessorSSN
42,001,CS 2340,ECSN 4.767,Computer Architecture,110,Mo-We 1:00-2:15 PM,100000001
43,002,CS 2340,ECSN 4.767,Computer Architecture,110,Mo-We 1:00-2:15 PM,100000001
44,001,CS 3149,ECSW 4.976,Competitive Learning in Computer Science,70,Tu-Th 2:30-3:45 PM,117316167
45,002,CS 3149,ECSW 4.976,Competitive Learning in Computer Science,70,Tu-Th 2:30-3:45 PM,117316167
46,003,CS 3149,ECSW 4.976,Competitive Learning in Computer Science,70,Tu-Th 2:30-3:45 PM,117316167
47,004,CS 3149,ECSW 4.976,Competitive Learning in Computer Science,70,Tu-Th 2:30-3:45 PM,117316167
48,005,CS 3149,ECSW 4.976,Competitive Learning in Computer Science,70,Tu-Th 2:30-3:45 PM,117316167
49,001,CS 3162,ECSN 2.696,Professional Responsibility in Computer Science and Software Engineering,70,Mo-We 1:00-2:15 PM,627815400
50,002,CS 3162,ECSN 2.696,Professional Responsibility in Computer Science and Software Engineering,70,Mo-We 1:00-2:15 PM,627815400
51,003,CS 3162,ECSN 2.696,Professional Responsibility in Computer Science and Software Engineering,70,Mo-We 1:00-2:15 PM,627815400
52,001,CS 3305,ECSS 4.743,Discrete Mathematics for Computing II,150,Tu-Th 10:30-11:45 AM,842341927
53,002,CS 3305,ECSS 4.743,Discrete Mathematics for Computing II,150,Tu-Th 10:30-11:45 AM,842341927
54,001,CS 3333,ECSW 2.318,Data Structures,90,Tu-Th 1:00-2:15 PM,936088867
55,002,CS 3333,ECSW 2.318,Data Structures,90,Tu-Th 1:00-2:15 PM,936088867
56,003,CS 3333,ECSW 2.318,Data Structures,90,Tu-Th 1:00-2:15 PM,936088867
57,004,CS 3333,ECSW 2.318,Data Structures,90,Tu-Th 1:00-2:15 PM,936088867
58,001,CS 3341,ECSS 2.390,Probability and Statistics in CS and SE,130,Mo-We 1:00-2:15 PM,900128846
59,001,CS 3345,ECSN 3.273,Data Structures and Algorithmic Analysis,110,Tu-Th 10:30-11:45 AM,910020692
60,002,CS 3345,ECSN 3.273,Data Structures and Algorithmic Analysis,110,Tu-Th 10:30-11:45 AM,910020692
61,003,CS 3345,ECSN 3.273,Data Structures and Algorithmic Analysis,110,Tu-Th 10:30-11:45 AM,910020692
62,004,CS 3345,ECSN 3.273,Data Structures and Algorithmic Analysis,110,Tu-Th 10:30-11:45 AM,910020692
63,005,CS 3345,ECSN 3.273,Data Structures and Algorithmic Analysis,110,Tu-Th 10:30-11:45 AM,910020692
64,001,CS 3349,ECSS 3.175,Competitive Learning in Computer Science,150,Mo-We 9:00-10:15 AM,256694928
65,002,CS 3349,ECSS 3.175,Competitive Learning in Computer Science,150,Mo-We 9:00-10:15 AM,256694928
66,001,CS 3354,ECSS 2.564,Software Engineering,110,Tu-Th 10:30-11:45 AM,476540924
67,001,CS 3360,ECSS 3.632,Computer Graphics for Artists and Designers,130,Mo-We 10:30-11:45 AM,723893318
68,002,CS 3360,ECSS 3.632,Computer Graphics for Artists and Designers,130,Mo-We 10:30-11:45 AM,723893318
69,003,CS 3360,ECSS 3.632,Computer Graphics for Artists and Designers,130,Mo-We 10:30-11:45 AM,723893318
70,004,CS 3360,ECSS 3.632,Computer Graphics for Artists and Designers,130,Mo-We 10:30-11:45 AM,723893318
71,005,CS 3360,ECSS 3.632,Computer Graphics for Artists and Designers,130,Mo-We 10:30-11:45 AM,723893318
72,001,CS 3377,ECSW 3.299,Systems Programming in UNIX,70,Mo-We 1:00-2:15 PM,764551079
73,002,CS 3377,ECSW 3.299,Systems Programming in UNIX,70,Mo-We 1:00-2:15 PM,764551079
74,003,CS 3377,ECSW 3.299,Systems Programming in UNIX,70,Mo-We 1:00-2:15 PM,764551079
75,001,CS 4141,ECSS 2.745,Digital Systems Laboratory,70,Tu-Th 1:00-2:15 PM,601765707
76,002,CS 4141,ECSS 2.745,Digital Systems Laboratory,70,Tu-Th 1:00-2:15 PM,601765707
77,001,CS 4301,ECSW 4.539,Special Topics in Computer Science,130,Mo-We 9:00-10:15 AM,856634553
78,002,CS 4301,ECSW 4.539,Special Topics in Computer Science,130,Mo-We 9:00-10:15 AM,856634553
79,003,CS 4301,ECSW 4.539,Special Topics in Computer Science,130,Mo-We 9:00-10:15 AM,856634553
80,001,CS 4314,ECSS 2.815,Intelligent Systems Analysis,130,Tu-Th 2:30-3:45 PM,672157538
81,002,CS 4314,ECSS 2.815,Intelligent Systems Analysis,130,Tu-Th 2:30-3:45 PM,672157538
82,003,CS 4314,ECSS 2.815,Intelligent Systems Analysis,130,Tu-Th 2:30-3:45 PM,672157538
83,004,CS 4314,ECSS 2.815,Intelligent Systems Analysis,130,Tu-Th 2:30-3:45 PM,672157538
84,001,CS 4315,ECSN 4.776,Intelligent Systems Design,70,Mo-We 1:00-2:15 PM,360662923
85,002,CS 4315,ECSN 4.776,Intelligent Systems Design,70,Mo-We 1:00-2:15 PM,360662923
86,001,CS 4334,ECSW 2.331,Numerical Analysis,150,Mo-We 9:00-10:15 AM,306132758
87,002,CS 4334,ECSW 2.331,Numerical Analysis,150,Mo-We 9:00-10:15 AM,306132758
88,003,CS 4334,ECSW 2.331,Numerical Analysis,150,Mo-We 9:00-10:15 AM,306132758
89,001,CS 4336,ECSS 3.327,Advanced JAVA,70,Tu-Th 9:00-10:15 AM,100000000
90,002,CS 4336,ECSS 3.327,Advanced JAVA,70,Tu-Th 9:00-10:15 AM,100000000
91,003,CS 4336,ECSS 3.327,Advanced JAVA,70,Tu-Th 9:00-10:15 AM,100000000
92,001,CS 4337,ECSW 2.127,Programming Language Paradigms,130,Mo-We 10:30-11:45 AM,770545107
93,002,CS 4337,ECSW 2.127,Programming Language Paradigms,130,Mo-We 10:30-11:45 AM,770545107
94,003,CS 4337,ECSW 2.127,Programming Language Paradigms,130,Mo-We 10:30-11:45 AM,770545107
95,004,CS 4337,ECSW 2.127,Programming Language Paradigms,130,Mo-We 10:30-11:45 AM,770545107
96,001,CS 4341,ECSN 4.711,Digital Logic and Computer Design,70,Mo-We 1:00-2:15 PM,423949264
97,001,CS 4347,ECSN 4.563,Database Systems,130,Tu-Th 2:30-3:45 PM,632151738
98,002,CS 4347,ECSN 4.563,Database Systems,130,Tu-Th 2:30-3:45 PM,632151738
99,003,CS 4347,ECSN 4.563,Database Systems,130,Tu-Th 2:30-3:45 PM,632151738
100,004,CS 4347,ECSN 4.563,Database Systems,130,Tu-Th 2:30-3:45 PM,632151738
101,005,CS 4347,ECSN 4.563,Database Systems,130,Tu-Th 2:30-3:45 PM,632151738
102,001,CS 4348,ECSW 4.304,Operating Systems Concepts,70,Tu-Th 1:00-2:15 PM,100000001
103,002,CS 4348,ECSW 4.304,Operating Systems Concepts,70,Tu-Th 1:00-2:15 PM,100000001
104,001,CS 4349,ECSS 2.125,Advanced Algorithm Design and Analysis,150,Mo-We 10:30-11:45 AM,117316167
105,001,CS 4352,ECSN 2.580,Human-Computer Interaction I,150,Tu-Th 10:30-11:45 AM,627815400
106,002,CS 4352,ECSN 2.580,Human-Computer Interaction I,150,Tu-Th 10:30-11:45 AM,627815400
107,003,CS 4352,ECSN 2.580,Human-Computer Interaction I,150,Tu-Th 10:30-11:45 AM,627815400
108,004,CS 4352,ECSN 2.580,Human-Computer Interaction I,150,Tu-Th 10:30-11:45 AM,627815400
109,005,CS 4352,ECSN 2.580,Human-Computer Interaction I,150,Tu-Th 10:30-11:45 AM,627815400
110,001,CS 4353,ECSW 3.839,Human-Computer Interaction II,150,Tu-Th 2:30-3:45 PM,842341927
111,001,CS 4361,ECSS 4.852,Computer Graphics,90,Tu-Th 9:00-10:15 AM,936088867
112,002,CS 4361,ECSS 4.852,Computer Graphics,90,Tu-Th 9:00-10:15 AM,936088867
113,001,CS 4365,ECSS 3.781,Artificial Intelligence,130,Tu-Th 9:00-10:15 AM,900128846
114,002,CS 4365,ECSS 3.781,Artificial Intelligence,130,Tu-Th 9:00-10:15 AM,900128846
115,001,CS 4375,ECSW 4.965,Introduction to Machine Learning,130,Tu-Th 2:30-3:45 PM,910020692
116,002,CS 4375,ECSW 4.965,Introduction to Machine Learning,130,Tu-Th 2:30-3:45 PM,910020692
117,001,CS 4376,ECSS 2.979,Object-Oriented Programming Systems,110,Tu-Th 9:00-10:15 AM,256694928
118,001,CS 4384,ECSN 2.509,Automata Theory,70,Mo-We 9:00-10:15 AM,476540924
119,001,CS 4386,ECSS 2.118,Compiler Design,110,Tu-Th 9:00-10:15 AM,723893318
120,002,CS 4386,ECSS 2.118,Compiler Design,110,Tu-Th 9:00-10:15 AM,723893318
121,003,CS 4386,ECSS 2.118,Compiler Design,110,Tu-Th 9:00-10:15 AM,723893318
122,001,CS 4389,ECSW 2.140,Data & Applications Security,70,Mo-We 9:00-10:15 AM,764551079
123,002,CS 4389,ECSW 2.140,Data & Applications Security,70,Mo-We 9:00-10:15 AM,764551079
124,001,CS 4390,ECSS 4.653,Computer Networks,110,Tu-Th 10:30-11:45 AM,601765707
125,002,CS 4390,ECSS 4.653,Computer Networks,110,Tu-Th 10:30-11:45 AM,601765707
126,003,CS 4390,ECSS 4.653,Computer Networks,110,Tu-Th 10:30-11:45 AM,601765707
127,001,CS 4391,ECSW 4.535,Introduction to Computer Vision,130,Tu-Th 9:00-10:15 AM,856634553
128,002,CS 4391,ECSW 4.535,Introduction to Computer Vision,130,Tu-Th 9:00-10:15 AM,856634553
129,003,CS 4391,ECSW 4.535,Introduction to Computer Vision,130,Tu-Th 9:00-10:15 AM,856634553
130,004,CS 4391,ECSW 4.535,Introduction to Computer Vision,130,Tu-Th 9:00-10:15 AM,856634553
131,005,CS 4391,ECSW 4.535,Introduction to Computer Vision,130,Tu-Th 9:00-10:15 AM,856634553
132,001,CS 4392,ECSW 4.295,Computer Animation,90,Tu-Th 2:30-3:45 PM,672157538
133,002,CS 4392,ECSW 4.295,Computer Animation,90,Tu-Th 2:30-3:45 PM,672157538
134,001,CS 4393,ECSN 3.308,Computer and Network Security,130,Tu-Th 2:30-3:45 PM,360662923
135,002,CS 4393,ECSN 3.308,Computer and Network Security,130,Tu-Th 2:30-3:45 PM,360662923
136,003,CS 4393,ECSN 3.308,Computer and Network Security,130,Tu-Th 2:30-3:45 PM,360662923
137,001,CS 4394,ECSS 3.840,Implementation of Modern Operating Systems,90,Tu-Th 1:00-2:15 PM,306132758
138,002,CS 4394,ECSS 3.840,Implementation of Modern Operating Systems,90,Tu-Th 1:00-2:15 PM,306132758
139,003,CS 4394,ECSS 3.840,Implementation of Modern Operating Systems,90,Tu-Th 1:00-2:15 PM,306132758
140,001,CS 4395,ECSW 4.960,Human Language Technologies,70,Tu-Th 1:00-2:15 PM,100000000
141,002,CS 4395,ECSW 4.960,Human Language Technologies,70,Tu-Th 1:00-2:15 PM,100000000
142,003,CS 4395,ECSW 4.960,Human Language Technologies,70,Tu-Th 1:00-2:15 PM,100000000
143,004,CS 4395,ECSW 4.960,Human Language Technologies,70,Tu-Th 1:00-2:15 PM,100000000
144,001,CS 4396,ECSW 4.716,Networking Laboratory,110,Mo-We 10:30-11:45 AM,770545107
145,002,CS 4396,ECSW 4.716,Networking Laboratory,110,Mo-We 10:30-11:45 AM,770545107
146,001,CS 4397,ECSW 2.602,Embedded Computer Systems,130,Tu-Th 9:00-10:15 AM,423949264
147,001,CS 4398,ECSS 2.488,Digital Forensics,150,Tu-Th 10:30-11:45 AM,632151738
148,002,CS 4398,ECSS 2.488,Digital Forensics,150,Tu-Th 10:30-11:45 AM,632151738
149,003,CS 4398,ECSS 2.488,Digital Forensics,150,Tu-Th 10:30-11:45 AM,632151738
150,001,CS 4459,ECSW 2.766,Cyber Attack and Defense Laboratory,70,Mo-We 9:00-10:15 AM,100000001
151,002,CS 4459,ECSW 2.766,Cyber Attack and Defense Laboratory,70,Mo-We 9:00-10:15 AM,100000001
152,001,CS 4485,ECSW 3.258,Computer Science Project,130,Tu-Th 10:30-11:45 AM,117316167
153,002,CS 4485,ECSW 3.258,Computer Science Project,130,Tu-Th 10:30-11:45 AM,117316167
154,003,CS 4485,ECSW 3.258,Computer Science Project,130,Tu-Th 10:30-11:45 AM,117316167
155,004,CS 4485,ECSW 3.258,Computer Science Project,130,Tu-Th 10:30-11:45 AM,117316167
156,001,CS 4V95,ECSS 4.105,Undergraduate Topics in Computer Science,70,Mo-We 9:00-10:15 AM,627815400
157,002,CS 4V95,ECSS 4.105,Undergraduate Topics in Computer Science,70,Mo-We 9:00-10:15 AM,627815400
158,003,CS 4V95,ECSS 4.105,Undergraduate Topics in Computer Science,70,Mo-We 9:00-10:15 AM,627815400
159,001,CS 4V98,ECSN 4.864,Undergraduate Research in Computer Science,150,Mo-We 1:00-2:15 PM,842341927
160,002,CS 4V98,ECSN 4.864,Undergraduate Research in Computer Science,150,Mo-We 1:00-2:15 PM,842341927
161,003,CS 4V98,ECSN 4.864,Undergraduate Research in Computer Science,150,Mo-We 1:00-2:15 PM,842341927
162,004,CS 4V98,ECSN 4.864,Undergraduate Research in Computer Science,150,Mo-We 1:00-2:15 PM,842341927
163,001,CS 4399,ECSN 4.159,Senior Honors in Computer Science,70,Tu-Th 10:30-11:45 AM,936088867
164,002,CS 4399,ECSN 4.159,Senior Honors in Computer Science,70,Tu-Th 10:30-11:45 AM,936088867
165,001,SE 3162,ECSN 4.862,Professional Responsibility in CS and SE,110,Tu-Th 2:30-3:45 PM,900128846
166,002,SE 3162,ECSN 4.862,Professional Responsibility in CS and SE,110,Tu-Th 2:30-3:45 PM,900128846
167,003,SE 3162,ECSN 4.862,Professional Responsibility in CS and SE,110,Tu-Th 2:30-3:45 PM,900128846
168,004,SE 3162,ECSN 4.862,Professional Responsibility in CS and SE,110,Tu-Th 2:30-3:45 PM,900128846
169,001,SE 3306,ECSN 3.102,Mathematical Foundations of Software Engineering,130,Mo-We 9:00-10:15 AM,910020692
170,002,SE 3306,ECSN 3.102,Mathematical Foundations of Software Engineering,130,Mo-We 9:00-10:15 AM,910020692
171,003,SE 3306,ECSN 3.102,Mathematical Foundations of Software Engineering,130,Mo-We 9:00-10:15 AM,910020692
172,001,SE 3341,ECSS 3.479,Probability and Statistics in CS and SE,150,Tu-Th 2:30-3:45 PM,256694928
173,001,SE 3345,ECSS 2.663,Data Structures and Algorithmic Analysis,150,Tu-Th 9:00-10:15 AM,476540924
174,001,SE 3354,ECSW 3.206,Software Engineering,110,Mo-We 1:00-2:15 PM,723893318
175,001,SE 3377,ECSW 2.530,Systems Programming in UNIX,130,Mo-We 10:30-11:45 AM,764551079
176,002,SE 3377,ECSW 2.530,Systems Programming in UNIX,130,Mo-We 10:30-11:45 AM,764551079
177,003,SE 3377,ECSW 2.530,Systems Programming in UNIX,130,Mo-We 10:30-11:45 AM,764551079
178,004,SE 3377,ECSW 2.530,Systems Programming in UNIX,130,Mo-We 10:30-11:45 AM,764551079
179,001,SE 4347,ECSN 2.592,Database Systems,70,Mo-We 9:00-10:15 AM,601765707
180,002,SE 4347,ECSN 2.592,Database Systems,70,Mo-We 9:00-10:15 AM,601765707
181,003,SE 4347,ECSN 2.592,Database Systems,70,Mo-We 9:00-10:15 AM,601765707
182,001,SE 4348,ECSW 2.729,Operating Systems Concepts,150,Tu-Th 1:00-2:15 PM,856634553
183,002,SE 4348,ECSW 2.729,Operating Systems Concepts,150,Tu-Th 1:00-2:15 PM,856634553
184,003,SE 4348,ECSW 2.729,Operating Systems Concepts,150,Tu-Th 1:00-2:15 PM,856634553
185,004,SE 4348,ECSW 2.729,Operating Systems Concepts,150,Tu-Th 1:00-2:15 PM,856634553
186,001,SE 4351,ECSW 4.796,Requirements Engineering,70,Mo-We 9:00-10:15 AM,672157538
187,002,SE 4351,ECSW 4.796,Requirements Engineering,70,Mo-We 9:00-10:15 AM,672157538
188,003,SE 4351,ECSW 4.796,Requirements Engineering,70,Mo-We 9:00-10:15 AM,672157538
189,001,SE 4352,ECSW 4.102,Software Architecture and Design,150,Tu-Th 1:00-2:15 PM,360662923
190,002,SE 4352,ECSW 4.102,Software Architecture and Design,150,Tu-Th 1:00-2:15 PM,360662923
191,003,SE 4352,ECSW 4.102,Software Architecture and Design,150,Tu-Th 1:00-2:15 PM,360662923
192,004,SE 4352,ECSW 4.102,Software Architecture and Design,150,Tu-Th 1:00-2:15 PM,360662923
193,005,SE 4352,ECSW 4.102,Software Architecture and Design,150,Tu-Th 1:00-2:15 PM,360662923
194,001,SE 4367,ECSS 4.888,Software Testing and Quality Assurance,110,Tu-Th 2:30-3:45 PM,306132758
195,002,SE 4367,ECSS 4.888,Software Testing and Quality Assurance,110,Tu-Th 2:30-3:45 PM,306132758
196,003,SE 4367,ECSS 4.888,Software Testing and Quality Assurance,110,Tu-Th 2:30-3:45 PM,306132758
197,004,SE 4367,ECSS 4.888,Software Testing and Quality Assurance,110,Tu-Th 2:30-3:45 PM,306132758
198,005,SE 4367,ECSS 4.888,Software Testing and Quality Assurance,110,Tu-Th 2:30-3:45 PM,306132758
199,001,SE 4376,ECSW 4.309,Object-Oriented Design,110,Tu-Th 1:00-2:15 PM,100000000
200,002,SE 4376,ECSW 4.309,Object-Oriented Design,110,Tu-Th 1:00-2:15 PM,100000000
201,003,SE 4376,ECSW 4.309,Object-Oriented Design,110,Tu-Th 1:00-2:15 PM,100000000
202,001,SE 4381,ECSS 2.333,Software Project Planning,110,Tu-Th 1:00-2:15 PM,770545107
203,002,SE 4381,ECSS 2.333,Software Project Planning,110,Tu-Th 1:00-2:15 PM,770545107
204,001,SE 4399,ECSS 4.269,Senior Honors in Software Engineering,70,Tu-Th 9:00-10:15 AM,423949264
205,002,SE 4399,ECSS 4.269,Senior Honors in Software Engineering,70,Tu-Th 9:00-10:15 AM,423949264
206,003,SE 4399,ECSS 4.269,Senior Honors in Software Engineering,70,Tu-Th 9:00-10:15 AM,423949264
207,004,SE 4399,ECSS 4.269,Senior Honors in Software Engineering,70,Tu-Th 9:00-10:15 AM,423949264
208,005,SE 4399,ECSS 4.269,Senior Honors in Software Engineering,70,Tu-Th 9:00-10:15 AM,423949264
209,001,SE 4485,ECSW 3.739,Software Engineering Project,150,Mo-We 9:00-10:15 AM,632151738
210,002,SE 4485,ECSW 3.739,Software Engineering Project,150,Mo-We 9:00-10:15 AM,632151738
211,001,ITSS 3300,ECSW 2.356,Information Systems,110,Mo-We 9:00-10:15 AM,100000001
212,002,ITSS 3300,ECSW 2.356,Information Systems,110,Mo-We 9:00-10:15 AM,100000001
213,003,ITSS 3300,ECSW 2.356,Information Systems,110,Mo-We 9:00-10:15 AM,100000001
214,001,ITSS 3311,ECSS 2.765,Information Systems,130,Tu-Th 9:00-10:15 AM,117316167
215,002,ITSS 3311,ECSS 2.765,Information Systems,130,Tu-Th 9:00-10:15 AM,117316167
216,003,ITSS 3311,ECSS 2.765,Information Systems,130,Tu-Th 9:00-10:15 AM,117316167
217,004,ITSS 3311,ECSS 2.765,Information Systems,130,Tu-Th 9:00-10:15 AM,117316167
218,001,ITSS 3312,ECSS 4.566,Information Systems,150,Tu-Th 2:30-3:45 PM,627815400
219,001,ITSS 3370,ECSN 3.783,Information Systems,90,Mo-We 9:00-10:15 AM,842341927
220,002,ITSS 3370,ECSN 3.783,Information Systems,90,Mo-We 9:00-10:15 AM,842341927
221,003,ITSS 3370,ECSN 3.783,Information Systems,90,Mo-We 9:00-10:15 AM,842341927
222,004,ITSS 3370,ECSN 3.783,Information Systems,90,Mo-We 9:00-10:15 AM,842341927
223,001,ITSS 3390,ECSN 4.381,Information Systems,110,Mo-We 10:30-11:45 AM,936088867
224,002,ITSS 3390,ECSN 4.381,Information Systems,110,Mo-We 10:30-11:45 AM,936088867
225,003,ITSS 3390,ECSN 4.381,Information Systems,110,Mo-We 10:30-11:45 AM,936088867
226,004,ITSS 3390,ECSN 4.381,Information Systems,110,Mo-We 10:30-11:45 AM,936088867
227,001,ITSS 4090,ECSS 4.315,Information Systems,150,Tu-Th 2:30-3:45 PM,900128846
228,002,ITSS 4090,ECSS 4.315,Information Systems,150,Tu-Th 2:30-3:45 PM,900128846
229,003,ITSS 4090,ECSS 4.315,Information Systems,150,Tu-Th 2:30-3:45 PM,900128846
230,004,ITSS 4090,ECSS 4.315,Information Systems,150,Tu-Th 2:30-3:45 PM,900128846
231,001,ITSS 4300,ECSS 3.144,Information Systems,150,Mo-We 9:00-10:15 AM,910020692
232,002,ITSS 4300,ECSS 3.144,Information Systems,150,Mo-We 9:00-10:15 AM,910020692
233,001,ITSS 4301,ECSS 4.959,Information Systems,150,Mo-We 1:00-2:15 PM,256694928
234,001,ITSS 4312,ECSS 4.747,Information Systems,150,Mo-We 9:00-10:15 AM,476540924
235,002,ITSS 4312,ECSS 4.747,Information Systems,150,Mo-We 9:00-10:15 AM,476540924
236,003,ITSS 4312,ECSS 4.747,Information Systems,150,Mo-We 9:00-10:15 AM,476540924
237,004,ITSS 4312,ECSS 4.747,Information Systems,150,Mo-We 9:00-10:15 AM,476540924
238,005,ITSS 4312,ECSS 4.747,Information Systems,150,Mo-We 9:00-10:15 AM,476540924
239,001,ITSS 4320,ECSS 2.468,Information Systems,90,Mo-We 10:30-11:45 AM,723893318
240,002,ITSS 4320,ECSS 2.468,Information Systems,90,Mo-We 10:30-11:45 AM,723893318
241,003,ITSS 4320,ECSS 2.468,Information Systems,90,Mo-We 10:30-11:45 AM,723893318
242,001,ITSS 4330,ECSS 4.223,Information Systems,110,Tu-Th 1:00-2:15 PM,764551079
243,002,ITSS 4330,ECSS 4.223,Information Systems,110,Tu-Th 1:00-2:15 PM,764551079
244,003,ITSS 4330,ECSS 4.223,Information Systems,110,Tu-Th 1:00-2:15 PM,764551079
245,004,ITSS 4330,ECSS 4.223,Information Systems,110,Tu-Th 1:00-2:15 PM,764551079
246,001,ITSS 4340,ECSN 3.444,Information Systems,90,Mo-We 10:30-11:45 AM,601765707
247,002,ITSS 4340,ECSN 3.444,Information Systems,90,Mo-We 10:30-11:45 AM,601765707
248,003,ITSS 4340,ECSN 3.444,Information Systems,90,Mo-We 10:30-11:45 AM,601765707
249,004,ITSS 4340,ECSN 3.444,Information Systems,90,Mo-We 10:30-11:45 AM,601765707
250,001,ITSS 4342,ECSN 3.992,Information Systems,110,Tu-Th 2:30-3:45 PM,856634553
251,002,ITSS 4342,ECSN 3.992,Information Systems,110,Tu-Th 2:30-3:45 PM,856634553
252,003,ITSS 4342,ECSN 3.992,Information Systems,110,Tu-Th 2:30-3:45 PM,856634553
253,004,ITSS 4342,ECSN 3.992,Information Systems,110,Tu-Th 2:30-3:45 PM,856634553
254,001,ITSS 4343,ECSN 3.225,Information Systems,70,Tu-Th 9:00-10:15 AM,672157538
255,002,ITSS 4343,ECSN 3.225,Information Systems,70,Tu-Th 9:00-10:15 AM,672157538
256,003,ITSS 4343,ECSN 3.225,Information Systems,70,Tu-Th 9:00-10:15 AM,672157538
257,001,ITSS 4344,ECSS 2.297,Information Systems,130,Mo-We 1:00-2:15 PM,360662923
258,002,ITSS 4344,ECSS 2.297,Information Systems,130,Mo-We 1:00-2:15 PM,360662923
259,001,ITSS 4351,ECSS 2.138,Information Systems,90,Mo-We 10:30-11:45 AM,306132758
260,002,ITSS 4351,ECSS 2.138,Information Systems,90,Mo-We 10:30-11:45 AM,306132758
