StudentSSN,Department
863861244,Cybersecurity
421168155,Software Engineering
818021944,Computer Science
139675375,Computer Science
731921613,Software Engineering
877831367,Nanoscience and Technology
697479426,Cybersecurity
148738946,Nanoscience and Technology
100000062,Nanoscience and Technology
577483577,Nanoscience and Technology
922625532,Computer Science
511379958,Computer Science
578896162,Software Engineering
448517496,Computer Science
848500860,Cybersecurity
592515220,Software Engineering
100000068,Cybersecurity
378100947,Nanoscience and Technology
287986033,Software Engineering
695769552,Software Engineering
665084529,Computer Science
619319418,Software Engineering
415343665,Computer Science
100000059,Nanoscience and Technology
100000065,Nanoscience and Technology
558020914,Software Engineering
575250883,Nanoscience and Technology
497423343,Cybersecurity
222025475,Computer Science
981073463,Software Engineering
350916127,Cybersecurity
903552170,Cybersecurity
564813482,Computer Science
469554539,Cybersecurity
428474999,Nanoscience and Technology
100000017,Software Engineering
610807352,Computer Science
854562728,Cybersecurity
220660195,Nanoscience and Technology
797964938,Computer Science
140504709,Software Engineering
492915814,Computer Science
798378606,Cybersecurity
614231199,Computer Science
532823545,Cybersecurity
140514537,Cybersecurity
493112501,Nanoscience and Technology
100000052,Nanoscience and Technology
552297348,Software Engineering
563951297,Nanoscience and Technology
855319285,Computer Science
796710786,Cybersecurity
289329422,Computer Science
670178227,Nanoscience and Technology
608651863,Computer Science
576687226,Cybersecurity
174332696,Computer Science
444364698,Computer Science
629067319,Computer Science
100000036,Computer Science
545686211,Nanoscience and Technology
959441262,Computer Science
123155514,Nanoscience and Technology
951367056,Cybersecurity
947378132,Software Engineering
100000051,Nanoscience and Technology
100000054,Nanoscience and Technology
100000076,Nanoscience and Technology
553115802,Nanoscience and Technology
652611160,Computer Science
925018754,Cybersecurity
568885552,Cybersecurity
931138684,Computer Science
173346369,Cybersecurity
984951643,Nanoscience and Technology
351694746,Computer Science
713964741,Nanoscience and Technology
655470897,Nanoscience and Technology
200326629,Computer Science
920850538,Software Engineering
586894827,Software Engineering
354896138,Cybersecurity
300178145,Software Engineering
381743739,Cybersecurity
632058071,Computer Science
175673079,Cybersecurity
365328759,Cybersecurity
523698157,Nanoscience and Technology
100000029,Cybersecurity
380068897,Nanoscience and Technology
538279222,Computer Science
705281293,Computer Science
204673498,Nanoscience and Technology
709464906,Software Engineering
385332923,Cybersecurity
354735680,Nanoscience and Technology
114203867,Cybersecurity
100000060,Software Engineering
532010062,Nanoscience and Technology
245120297,Computer Science
288593626,Software Engineering
865728004,Cybersecurity
226323832,Nanoscience and Technology
643940275,Nanoscience and Technology
562361311,Nanoscience and Technology
126902403,Nanoscience and Technology
863425755,Cybersecurity
693959601,Computer Science
548952570,Software Engineering
691369051,Cybersecurity
622244780,Computer Science
974650131,Cybersecurity
878803525,Software Engineering
750176742,Cybersecurity
325266190,Cybersecurity
100000028,Computer Science
100000009,Computer Science
626067603,Computer Science
129280263,Software Engineering
609492883,Computer Science
273069947,Computer Science
728533392,Software Engineering
598032398,Cybersecurity
546664614,Cybersecurity
484315908,Nanoscience and Technology
665866163,Software Engineering
305548431,Computer Science
826354697,Computer Science
789313016,Computer Science
427441052,Cybersecurity
962003519,Computer Science
204569801,Cybersecurity
992677232,Software Engineering
222772332,Software Engineering
100000096,Software Engineering
675345800,Nanoscience and Technology
438701890,Software Engineering
459333929,Cybersecurity
784358717,Nanoscience and Technology
100000033,Cybersecurity
100000086,Nanoscience and Technology
100000008,Nanoscience and Technology
653139111,Computer Science
109730698,Cybersecurity
811705918,Cybersecurity
858977303,Cybersecurity
920150314,Computer Science
559519684,Software Engineering
412722540,Software Engineering
439516495,Cybersecurity
976061078,Software Engineering
642064066,Nanoscience and Technology
239723563,Software Engineering
768332960,Nanoscience and Technology
420943618,Computer Science
689586330,Nanoscience and Technology
272348825,Nanoscience and Technology
630763594,Cybersecurity
452066640,Software Engineering
605425137,Computer Science
100000025,Software Engineering
841368422,Nanoscience and Technology
704418877,Nanoscience and Technology
936650072,Software Engineering
939233821,Cybersecurity
941330580,Software Engineering
372745862,Software Engineering
315730461,Computer Science
423003161,Computer Science
768048671,Cybersecurity
311401416,Cybersecurity
100000061,Cybersecurity
842727338,Nanoscience and Technology
459870631,Cybersecurity
100000018,Nanoscience and Technology
481585099,Software Engineering
100000047,Nanoscience and Technology
834118527,Nanoscience and Technology
508175756,Computer Science
100000088,Computer Science
673823620,Cybersecurity
818977738,Nanoscience and Technology
572224617,Computer Science
747380244,Computer Science
249430699,Computer Science
444794052,Nanoscience and Technology
448950483,Software Engineering
944480866,Nanoscience and Technology
724134517,Cybersecurity
951402384,Software Engineering
736252074,Computer Science
135467474,Nanoscience and Technology
532373775,Cybersecurity
100000093,Cybersecurity
291301763,Software Engineering
656843612,Software Engineering
734381336,Computer Science
985381569,Computer Science
122610077,Computer Science
929736750,Nanoscience and Technology
734475637,Nanoscience and Technology
126201917,Cybersecurity
100000044,Nanoscience and Technology
935311638,Nanoscience and Technology
182466487,Computer Science
809227630,Cybersecurity
592694106,Nanoscience and Technology
557024415,Computer Science
100000019,Software Engineering
293186456,Nanoscience and Technology
149973719,Cybersecurity
962139099,Cybersecurity
305615009,Nanoscience and Technology
972109917,Nanoscience and Technology
396683565,Software Engineering
817303771,Cybersecurity
969182868,Cybersecurity
174631601,Nanoscience and Technology
100000081,Nanoscience and Technology
359196383,Software Engineering
988405591,Computer Science
918394307,Nanoscience and Technology
165090933,Computer Science
100000031,Computer Science
378989510,Computer Science
686895345,Cybersecurity
451218285,Nanoscience and Technology
236904003,Computer Science
784151492,Cybersecurity
197458669,Computer Science
627517641,Cybersecurity
699678615,Nanoscience and Technology
792385108,Cybersecurity
376664011,Software Engineering
772580855,Nanoscience and Technology
394365269,Computer Science
907951242,Cybersecurity
992315967,Computer Science
659413809,Computer Science
100000089,Cybersecurity
371770700,Nanoscience and Technology
528602885,Cybersecurity
525268183,Nanoscience and Technology
388211450,Software Engineering
961243520,Cybersecurity
989916266,Cybersecurity
589805086,Computer Science
547635042,Software Engineering
450010674,Nanoscience and Technology
546222657,Software Engineering
980343898,Software Engineering
985075643,Software Engineering
959151452,Cybersecurity
704371183,Cybersecurity
932770935,Cybersecurity
140854214,Nanoscience and Technology
100000012,Computer Science
954328143,Cybersecurity
868356701,Computer Science
100000013,Software Engineering
837349019,Software Engineering
398790005,Cybersecurity
100000078,Cybersecurity
100000007,Nanoscience and Technology
644201171,Computer Science
256215940,Cybersecurity
501266473,Software Engineering
692505615,Software Engineering
197937220,Software Engineering
848463319,Computer Science
100000021,Software Engineering
296542833,Software Engineering
208560084,Computer Science
912615981,Software Engineering
667047595,Software Engineering
100000091,Computer Science
246310500,Software Engineering
315727734,Nanoscience and Technology
719207995,Software Engineering
490512206,Computer Science
602696012,Cybersecurity
100000006,Computer Science
230419529,Nanoscience and Technology
954729948,Software Engineering
327094002,Computer Science
833125144,Software Engineering
100000005,Nanoscience and Technology
780161480,Computer Science
107110226,Cybersecurity
117355142,Computer Science
688777625,Software Engineering
787560780,Software Engineering
824566824,Software Engineering
350825420,Software Engineering
808966474,Computer Science
100000046,Computer Science
384921160,Software Engineering
317026478,Nanoscience and Technology
